item_id,parent_ids,mass_nominal_kg,mass_low_kg,mass_high_kg,material_class,prior_disposition,decomposition_action,priority,reason,next_step
ebf3_gun_column_optical_axis_datum_set,ebf3_gun_column,0.25,0.0825,0.75,precision_metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for motion tolerance/load/lubrication; electron-beam geometry/thermal stability.
ebf3_gun_control_electrode,ebf3_fixed_electron_beam_gun,0.08,0.0264,0.24,refractory_metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for electron-beam geometry/thermal stability.
ebf3_gun_control_electrode_insulator,ebf3_fixed_electron_beam_gun,0.12,0.0396,0.36,ceramic,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for voltage/current/dielectric rating; electron-beam geometry/thermal stability.
ebf3_gun_deflection_magnetic_yoke,ebf3_gun_two_axis_deflection_coils,0.4,0.132,1.2,composite,keep_ebf3_leaf,defer_split_import_fallback,medium,Dedicated magnetic-steering plan still defers lower yoke geometry; routing as a generic metal/composite part would hide magnetic performance risk.,Use first-run import/defer fallback; revisit if gun import mass or magnetic steering capability dominates.
ebf3_gun_deflection_x_coil_pair,ebf3_gun_two_axis_deflection_coils,0.3,0.099,0.9,composite,keep_ebf3_leaf,route_as_leaf,medium,Coil-level review treats the X-axis coil pair as the BOM leaf; lower winding/bobbin/lead split would duplicate boundary without source evidence.,"Route as a single coil leaf with conductor, insulation, winding, vacuum, and electrical-interface gates."
ebf3_gun_deflection_y_coil_pair,ebf3_gun_two_axis_deflection_coils,0.3,0.099,0.9,composite,keep_ebf3_leaf,route_as_leaf,medium,Coil-level review treats the Y-axis coil pair as the BOM leaf; lower winding/bobbin/lead split would duplicate boundary without source evidence.,"Route as a single coil leaf with conductor, insulation, winding, vacuum, and electrical-interface gates."
ebf3_gun_diagnostic_signal_feedthrough_insert,ebf3_gun_signal_wiring,0.18,0.0594,0.54,composite,expand_but_flag,import_as_leaf,medium,Complex electronic/optical/electron-gun item with low-confidence local capability; splitting now would be a large research task for limited first-sim value.,Count as Earth import in first simulation; split only if this import mass dominates the result.
ebf3_gun_dynamic_lens_coil_assembly,ebf3_gun_dynamic_magnetic_lens,0.5,0.165,1.5,composite,keep_ebf3_leaf,route_as_leaf,medium,Coil-level review treats the dynamic lens coil assembly as the BOM leaf; material/process readiness remains open.,"Route as a single coil leaf with conductor, insulation, winding, vacuum, and magnetic-field verification gates."
ebf3_gun_dynamic_lens_pole_pieces,ebf3_gun_dynamic_magnetic_lens,0.3,0.099,0.9,metal,keep_ebf3_leaf,route_as_leaf,medium,"Pole pieces are material/function leaves; no further BOM split needed before process routing, but magnetic geometry is critical.",Route as precision magnetic metal with beam-geometry gate.
ebf3_gun_dynamic_lens_yoke,ebf3_gun_dynamic_magnetic_lens,0.4,0.132,1.2,metal,keep_ebf3_leaf,route_as_leaf,medium,"Magnetic yoke is a material/function leaf; local route depends on magnetic material and machining tolerance, not further BOM split.",Route as magnetic metal/yoke with beam-geometry gate.
ebf3_gun_feeder_adapter_body,ebf3_gun_feeder_adapter,0.42,0.1386,1.26,vacuum_structural_metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for electron-beam geometry/thermal stability.
ebf3_gun_feeder_wire_path_alignment_sleeve,ebf3_gun_feeder_adapter,0.12,0.0396,0.36,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for electron-beam geometry/thermal stability.
ebf3_gun_hv_input_central_conductor,ebf3_gun_hv_input,0.18,0.0594,0.54,conductive_metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for voltage/current/dielectric rating; electron-beam geometry/thermal stability.
ebf3_gun_hv_input_flange_housing,ebf3_gun_hv_input,0.28,0.0924,0.84,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for voltage/current/dielectric rating; electron-beam geometry/thermal stability.
ebf3_gun_hv_input_receiving_terminal,ebf3_gun_hv_input,0.14,0.0462,0.42,composite,keep_ebf3_leaf,import_as_leaf,medium,Complex electronic/optical/electron-gun item with low-confidence local capability; splitting now would be a large research task for limited first-sim value.,Count as Earth import in first simulation; split only if this import mass dominates the result.
ebf3_gun_hv_insulator_ceramic_body,ebf3_gun_hv_insulator,0.45,0.1485,1.35,ceramic,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for voltage/current/dielectric rating; electron-beam geometry/thermal stability.
ebf3_gun_hv_insulator_field_grading_electrode_set,ebf3_gun_hv_insulator,0.1,0.033,0.3,conductive_metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for voltage/current/dielectric rating; electron-beam geometry/thermal stability.
ebf3_gun_hv_insulator_metallized_end_interface_set,ebf3_gun_hv_insulator,0.08,0.0264,0.24,metal_ceramic_interface,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for voltage/current/dielectric rating; electron-beam geometry/thermal stability.
ebf3_gun_hv_insulator_mounting_collar_set,ebf3_gun_hv_insulator,0.12,0.0396,0.36,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for voltage/current/dielectric rating; electron-beam geometry/thermal stability.
ebf3_gun_local_diagnostic_signal_lead_set,ebf3_gun_signal_wiring,0.08,0.0264,0.24,composite,expand_but_flag,defer_split_import_fallback,medium,Composite/mixed-material leaf is small; splitting may be unnecessary for first sim unless it controls a critical capability.,Use import fallback now; split only if sensitivity/high-risk subsystem requires it.
ebf3_gun_main_lens_coil_assembly,ebf3_gun_main_magnetic_lens,0.9,0.297,2.7,composite,keep_ebf3_leaf,route_as_leaf,high,Coil-level review treats the main lens coil assembly as the BOM leaf; material/process readiness remains open.,"Route as a single coil leaf with conductor, insulation, winding, vacuum, and magnetic-field verification gates."
ebf3_gun_main_lens_pole_pieces,ebf3_gun_main_magnetic_lens,0.7,0.231,2.1,metal,keep_ebf3_leaf,route_as_leaf,medium,"Pole pieces are material/function leaves; no further BOM split needed before process routing, but magnetic geometry is critical.",Route as precision magnetic metal with electron-beam geometry gate.
ebf3_gun_main_lens_yoke,ebf3_gun_main_magnetic_lens,0.6,0.198,1.8,metal,keep_ebf3_leaf,route_as_leaf,medium,"Magnetic yoke is a material/function leaf; no optical decomposition needed, but magnetic steel and geometry gates remain.",Route as magnetic metal/yoke with electron-beam geometry gate.
ebf3_gun_screen_electrode,ebf3_fixed_electron_beam_gun,0.08,0.0264,0.24,refractory_metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for electron-beam geometry/thermal stability.
ebf3_gun_secondary_electron_ring_collector,ebf3_gun_secondary_electron_pickup,0.1,0.033,0.3,conductive_metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for electron-beam geometry/thermal stability.
ebf3_gun_secondary_pickup_insulator,ebf3_gun_secondary_electron_pickup,0.05,0.0165,0.15,ceramic,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for voltage/current/dielectric rating; electron-beam geometry/thermal stability.
ebf3_gun_side_oil_tank,ebf3_fixed_electron_beam_gun,0.9,0.297,2.7,composite,keep_ebf3_leaf,defer_split_import_fallback,high,Existing gun-side HV insulation plan treats this as a boundary marker without separate gun-side oil-volume evidence.,Use first-run import/defer fallback; do not split shell/oil/seal until source-fixed oil-volume boundary exists.
ebf3_gun_signal_shield_termination_interface,ebf3_gun_signal_wiring,0.05,0.0165,0.15,conductive_metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for electron-beam geometry/thermal stability.
ebf3_gun_trajectory_corrector_coil_set,ebf3_gun_trajectory_corrector,0.3,0.099,0.9,electronic,keep_ebf3_leaf,import_as_leaf,medium,Electronic/control item has no trusted lunar electronics process route; direct import is more honest than pseudo-decomposition.,Count as Earth import in conservative simulation.
ebf3_gun_trajectory_corrector_insulator_set,ebf3_gun_trajectory_corrector,0.08,0.0264,0.24,insulator,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for voltage/current/dielectric rating; electron-beam geometry/thermal stability.
ebf3_gun_trajectory_corrector_mount,ebf3_gun_trajectory_corrector,0.04,0.0132,0.12,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for electron-beam geometry/thermal stability; stiffness/tolerance/interface fit.
ebf3_gun_trajectory_corrector_pole_piece_set,ebf3_gun_trajectory_corrector,0.18,0.0594,0.54,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for electron-beam geometry/thermal stability.
ebf3_heater_supply_current_regulator_board,ebf3_cathode_heater_supply,1.4,0.56,3.5,electronic,keep_ebf3_leaf,import_as_leaf,high,Electronic/control item has no trusted lunar electronics process route; direct import is more honest than pseudo-decomposition.,Count as Earth import in conservative simulation.
ebf3_heater_supply_enclosure,ebf3_cathode_heater_supply,0.6,0.3,1.2,metal,expand_but_flag,route_as_leaf,medium,Simple material/function leaf; decomposition would add process detail but not change first-order import mass.,Route directly to KB material/process candidate.
ebf3_heater_supply_heat_sink,ebf3_cathode_heater_supply,1.2,0.6,2.4,metal,expand_but_flag,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for thermal load/temperature rise.
ebf3_heater_supply_power_stage,ebf3_cathode_heater_supply,1.3,0.65,2.6,electronic,keep_ebf3_leaf,import_as_leaf,high,Electronic/control item has no trusted lunar electronics process route; direct import is more honest than pseudo-decomposition.,Count as Earth import in conservative simulation.
ebf3_hv_bleeder_chain_insulating_support,ebf3_hv_discharge_bleeder_resistor_chain,0.16,0.0528,0.48,insulator,keep_ebf3_leaf,route_as_leaf,medium,Already split to a material/function leaf; process routing should use mass bounds plus performance gates rather than further BOM decomposition.,Proceed to KB process route classification with performance gate.
ebf3_hv_bleeder_chain_terminal_set,ebf3_hv_discharge_bleeder_resistor_chain,0.08,0.0264,0.24,metal,keep_ebf3_leaf,import_as_leaf,medium,"Connector/terminal item is low-mass, mixed-material, and rating-sensitive; direct import avoids invented contact/body/dielectric manufacturing.",Count as Earth import for first run; split only for a later connector-specific study.
ebf3_hv_bleeder_resistor_element_stack,ebf3_hv_discharge_bleeder_resistor_chain,0.36,0.1188,1.08,electronic,keep_ebf3_leaf,import_as_leaf,medium,Electronic/control item has no trusted lunar electronics process route; direct import is more honest than pseudo-decomposition.,Count as Earth import in conservative simulation.
ebf3_hv_cable_braided_shield,ebf3_hv_cable_to_gun,0.18,0.0594,0.54,conductive_metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for voltage/current/dielectric rating.
ebf3_hv_cable_central_conductor,ebf3_hv_cable_to_gun,0.22,0.0726,0.66,conductive_metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for voltage/current/dielectric rating.
ebf3_hv_cable_dielectric_insulation,ebf3_hv_cable_to_gun,0.36,0.1188,1.08,polymer_dielectric,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for voltage/current/dielectric rating.
ebf3_hv_cable_outer_jacket,ebf3_hv_cable_to_gun,0.16,0.0528,0.48,polymer,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for voltage/current/dielectric rating.
ebf3_hv_cable_semiconductive_stress_control_layer,ebf3_hv_cable_to_gun,0.08,0.0264,0.24,conductive_polymer_composite,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for voltage/current/dielectric rating.
ebf3_hv_drain_valve,ebf3_hv_tank_fill_drain_ports,0.2,0.066,0.6,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for voltage/current/dielectric rating; vacuum leak rate/outgassing.
ebf3_hv_fill_port,ebf3_hv_tank_fill_drain_ports,0.12,0.0396,0.36,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for voltage/current/dielectric rating; vacuum leak rate/outgassing.
ebf3_hv_lead_conductor_set,ebf3_internal_hv_leads_terminals,0.6,0.198,1.8,metal,keep_ebf3_leaf,route_as_leaf,medium,Already split to a material/function leaf; process routing should use mass bounds plus performance gates rather than further BOM decomposition.,Proceed to KB process route classification with performance gate.
ebf3_hv_lead_support_standoff_set,ebf3_internal_hv_leads_terminals,0.2,0.066,0.6,insulator,keep_ebf3_leaf,route_as_leaf,medium,Already split to a material/function leaf; process routing should use mass bounds plus performance gates rather than further BOM decomposition.,Proceed to KB process route classification with performance gate.
ebf3_hv_output_filter_capacitor,ebf3_hv_section_module_set,2,0.66,6,electronic,expand_but_flag,import_as_leaf,high,Electronic/control item has no trusted lunar electronics process route; direct import is more honest than pseudo-decomposition.,Count as Earth import in conservative simulation.
ebf3_hv_pressure_relief_seal,ebf3_hv_tank_pressure_relief,0.08,0.0264,0.24,polymer,expand_but_flag,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for voltage/current/dielectric rating; vacuum leak rate/outgassing.
ebf3_hv_pressure_relief_valve_body,ebf3_hv_tank_pressure_relief,0.22,0.0726,0.66,metal,expand_but_flag,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for voltage/current/dielectric rating; vacuum leak rate/outgassing.
ebf3_hv_rectifier_stack_tank_side,ebf3_hv_section_module_set,2.5,0.825,7.5,electronic,expand_but_flag,import_as_leaf,high,Electronic/control item has no trusted lunar electronics process route; direct import is more honest than pseudo-decomposition.,Count as Earth import in conservative simulation.
ebf3_hv_return_current_monitor_insulating_mount,ebf3_hv_output_return_current_monitor,0.12,0.0396,0.36,insulator,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for voltage/current/dielectric rating; stiffness/tolerance/interface fit.
ebf3_hv_return_current_monitor_signal_lead,ebf3_hv_output_return_current_monitor,0.12,0.0396,0.36,composite,keep_ebf3_leaf,defer_split_import_fallback,medium,Composite/mixed-material leaf is small; splitting may be unnecessary for first sim unless it controls a critical capability.,Use import fallback now; split only if sensitivity/high-risk subsystem requires it.
ebf3_hv_return_current_sensing_element,ebf3_hv_output_return_current_monitor,0.16,0.0528,0.48,electronic,keep_ebf3_leaf,import_as_leaf,medium,Electronic/control item has no trusted lunar electronics process route; direct import is more honest than pseudo-decomposition.,Count as Earth import in conservative simulation.
ebf3_hv_rounded_terminal_set,ebf3_internal_hv_leads_terminals,0.4,0.132,1.2,metal,keep_ebf3_leaf,import_as_leaf,medium,"Connector/terminal item is low-mass, mixed-material, and rating-sensitive; direct import avoids invented contact/body/dielectric manufacturing.",Count as Earth import for first run; split only for a later connector-specific study.
ebf3_hv_service_plug_set,ebf3_hv_tank_fill_drain_ports,0.08,0.0264,0.24,composite,keep_ebf3_leaf,defer_split_import_fallback,medium,Composite/mixed-material leaf is small; splitting may be unnecessary for first sim unless it controls a critical capability.,Use import fallback now; split only if sensitivity/high-risk subsystem requires it.
ebf3_hv_tank_bonding_anchor,ebf3_hv_tank_grounding_terminal,0.08,0.0264,0.24,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for voltage/current/dielectric rating; vacuum leak rate/outgassing.
ebf3_hv_tank_ground_lug,ebf3_hv_tank_grounding_terminal,0.12,0.0396,0.36,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for voltage/current/dielectric rating; vacuum leak rate/outgassing.
ebf3_hv_tank_lid,ebf3_hv_tank_enclosure,2,0.66,6,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for voltage/current/dielectric rating; vacuum leak rate/outgassing.
ebf3_hv_tank_lid_seal,ebf3_hv_tank_enclosure,0.5,0.165,1.5,polymer,expand_but_flag,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for voltage/current/dielectric rating; vacuum leak rate/outgassing.
ebf3_hv_tank_shell,ebf3_hv_tank_enclosure,8,2.64,24,metal,keep_ebf3_leaf,route_as_leaf,high,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for voltage/current/dielectric rating; vacuum leak rate/outgassing.
ebf3_hv_tank_temperature_probe,ebf3_hv_tank_temperature_sensor,0.04,0.0132,0.12,electronic,keep_ebf3_leaf,import_as_leaf,medium,Electronic/control item has no trusted lunar electronics process route; direct import is more honest than pseudo-decomposition.,Count as Earth import in conservative simulation.
ebf3_hv_tank_temperature_sensor_lead_set,ebf3_hv_tank_temperature_sensor,0.04,0.0132,0.12,composite,keep_ebf3_leaf,defer_split_import_fallback,medium,Composite/mixed-material leaf is small; splitting may be unnecessary for first sim unless it controls a critical capability.,Use import fallback now; split only if sensitivity/high-risk subsystem requires it.
ebf3_hv_tank_temperature_sensor_mount,ebf3_hv_tank_temperature_sensor,0.02,0.0066,0.06,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for voltage/current/dielectric rating; vacuum leak rate/outgassing; circuit function/rating; stiffness/tolerance/interface fit.
ebf3_hv_transformer_insulating_fluid,ebf3_high_voltage_tank,8,2.64,24,polymer,keep_ebf3_leaf,route_as_leaf,medium,"Fluid is already a material-level leaf; no further mechanical decomposition is needed, but dielectric/thermal import gate remains.",Route as dielectric fluid/material with import/local decision from KB process availability.
ebf3_hv_voltage_divider_insulating_support,ebf3_hv_output_voltage_divider_sensing,0.1,0.033,0.3,insulator,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for voltage/current/dielectric rating.
ebf3_hv_voltage_divider_low_voltage_sense_board,ebf3_hv_output_voltage_divider_sensing,0.08,0.0264,0.24,electronic,keep_ebf3_leaf,import_as_leaf,medium,Electronic/control item has no trusted lunar electronics process route; direct import is more honest than pseudo-decomposition.,Count as Earth import in conservative simulation.
ebf3_hv_voltage_divider_resistor_stack,ebf3_hv_output_voltage_divider_sensing,0.28,0.0924,0.84,electronic,keep_ebf3_leaf,import_as_leaf,medium,Electronic/control item has no trusted lunar electronics process route; direct import is more honest than pseudo-decomposition.,Count as Earth import in conservative simulation.
ebf3_hv_voltage_divider_shielded_lead,ebf3_hv_output_voltage_divider_sensing,0.04,0.0132,0.12,composite,keep_ebf3_leaf,defer_split_import_fallback,medium,Composite/mixed-material leaf is small; splitting may be unnecessary for first sim unless it controls a critical capability.,Use import fallback now; split only if sensitivity/high-risk subsystem requires it.
ebf3_input_rectifier_busbar_set,ebf3_input_rectifier,0.7,0.231,2.1,metal,keep_ebf3_leaf,route_as_leaf,medium,Already split to a material/function leaf; process routing should use mass bounds plus performance gates rather than further BOM decomposition.,Proceed to KB process route classification with performance gate.
ebf3_input_rectifier_diode_module_set,ebf3_input_rectifier,1.2,0.48,3,electronic,import_encoded,import_as_leaf,high,Electronic/control item has no trusted lunar electronics process route; direct import is more honest than pseudo-decomposition.,Count as Earth import in conservative simulation.
ebf3_input_rectifier_gate_or_sense_board,ebf3_input_rectifier,0.3,0.12,0.75,electronic,keep_ebf3_leaf,import_as_leaf,medium,Electronic/control item has no trusted lunar electronics process route; direct import is more honest than pseudo-decomposition.,Count as Earth import in conservative simulation.
ebf3_input_rectifier_heat_sink,ebf3_input_rectifier,0.8,0.32,2,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for circuit function/rating; thermal load/temperature rise.
ebf3_intermediate_wire_guide_body,ebf3_intermediate_wire_guide,0.16,0.064,0.4,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for motion tolerance/load/lubrication.
ebf3_intermediate_wire_guide_wear_insert,ebf3_intermediate_wire_guide,0.09,0.036,0.225,ceramic,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for motion tolerance/load/lubrication.
ebf3_linear_encoder_mounting_bracket_set,ebf3_linear_encoder_scales,0.3,0.12,0.75,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for motion tolerance/load/lubrication; stiffness/tolerance/interface fit.
ebf3_linear_encoder_read_head_set,ebf3_linear_encoder_scales,0.45,0.18,1.125,electronic,keep_ebf3_leaf,import_as_leaf,medium,Electronic/control item has no trusted lunar electronics process route; direct import is more honest than pseudo-decomposition.,Count as Earth import in conservative simulation.
ebf3_linear_encoder_scale_strip_set,ebf3_linear_encoder_scales,0.75,0.3,1.875,glass,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for motion tolerance/load/lubrication.
ebf3_linear_guide_carriage_block_set,ebf3_linear_guide_carriages,1.1,0.44,2.75,precision_metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for motion tolerance/load/lubrication.
ebf3_linear_guide_carriage_retainer_set,ebf3_linear_guide_carriages,0.25,0.1,0.625,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for motion tolerance/load/lubrication.
ebf3_linear_guide_carriage_rolling_element_set,ebf3_linear_guide_carriages,0.55,0.22,1.375,precision_metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for motion tolerance/load/lubrication.
ebf3_linear_guide_rail_body_set,ebf3_linear_guide_rails,2.4,0.96,6,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for motion tolerance/load/lubrication.
ebf3_linear_guide_rail_end_stop_set,ebf3_linear_guide_rails,0.3,0.12,0.75,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for motion tolerance/load/lubrication.
ebf3_linear_guide_rail_mounting_hole_datum_set,ebf3_linear_guide_rails,0.3,0.12,0.75,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for motion tolerance/load/lubrication.
ebf3_lv_distribution_breaker_or_fuse_set,ebf3_low_voltage_distribution_panel,1.2,0.6,2.4,electronic,keep_ebf3_leaf,import_as_leaf,high,Electronic/control item has no trusted lunar electronics process route; direct import is more honest than pseudo-decomposition.,Count as Earth import in conservative simulation.
ebf3_lv_distribution_busbar_set,ebf3_low_voltage_distribution_panel,1.1,0.363,3.3,metal,expand_but_flag,route_as_leaf,high,Already split to a material/function leaf; process routing should use mass bounds plus performance gates rather than further BOM decomposition.,Proceed to KB process route classification with performance gate.
ebf3_matching_network_busbar_set,ebf3_inverter_matching_network,0.6,0.198,1.8,metal,expand_but_flag,route_as_leaf,medium,Already split to a material/function leaf; process routing should use mass bounds plus performance gates rather than further BOM decomposition.,Proceed to KB process route classification with performance gate.
ebf3_matching_network_capacitor_set,ebf3_inverter_matching_network,1.2,0.48,3,electronic,expand_but_flag,import_as_leaf,high,Electronic/control item has no trusted lunar electronics process route; direct import is more honest than pseudo-decomposition.,Count as Earth import in conservative simulation.
ebf3_matching_network_inductor_set,ebf3_inverter_matching_network,1.3,0.52,3.25,electronic,expand_but_flag,split_implemented_parent,high,"Child BOM implemented into core, winding, insulation/support, terminals, and mounting base. Topology and ratings remain unresolved.",Route its child leaves in the post-split process route queue; do not route this parent as a fabricated leaf.
ebf3_matching_network_mounting_frame,ebf3_inverter_matching_network,0.9,0.45,1.8,metal,expand_but_flag,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for stiffness/tolerance/interface fit.
ebf3_motion_drive_control_board,ebf3_motion_control_drive_module,1,0.4,2.5,electronic,keep_ebf3_leaf,import_as_leaf,high,Electronic/control item has no trusted lunar electronics process route; direct import is more honest than pseudo-decomposition.,Count as Earth import in conservative simulation.
ebf3_motion_drive_heat_spreader,ebf3_motion_control_drive_module,0.5,0.25,1,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for thermal load/temperature rise.
ebf3_motion_drive_power_stage_set,ebf3_motion_control_drive_module,1.1,0.55,2.2,electronic,keep_ebf3_leaf,import_as_leaf,high,Electronic/control item has no trusted lunar electronics process route; direct import is more honest than pseudo-decomposition.,Count as Earth import in conservative simulation.
ebf3_motor_coupling_clamp_screw_set,ebf3_motor_couplings,0.08,0.032,0.2,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for motion tolerance/load/lubrication; stiffness/tolerance/interface fit.
