item_id,item_path,old_material,new_material,route_material_basis,policy,mass_kg
ebf3_z_axis_counterbalance_guide_or_link,kb/items/parts/ebf3_z_axis_counterbalance_guide_or_link.yaml,metal,steel,steel,sensitivity_flag,0.2
ebf3_z_axis_counterbalance_metal_spring_element,kb/items/parts/ebf3_z_axis_counterbalance_metal_spring_element.yaml,metal,spring_steel,spring_steel,import_until_gap_resolved,0.35
ebf3_z_axis_counterbalance_preload_adjustment_interface,kb/items/parts/ebf3_z_axis_counterbalance_preload_adjustment_interface.yaml,metal,steel,steel_adjuster_interface,local_nominal,0.08
ebf3_z_axis_counterbalance_spring_end_seat_set,kb/items/parts/ebf3_z_axis_counterbalance_spring_end_seat_set.yaml,metal,steel,steel_stock,local_nominal,0.12
ebf3_linear_guide_rail_mounting_hole_datum_set,kb/items/parts/ebf3_linear_guide_rail_mounting_hole_datum_set.yaml,metal,steel,precision_steel,local_nominal,0.3
ebf3_wire_feeder_gun_bracket_alignment_pin_set,kb/items/parts/ebf3_wire_feeder_gun_bracket_alignment_pin_set.yaml,metal,steel,precision_steel,sensitivity_flag,0.2
ebf3_hv_bleeder_chain_terminal_set,kb/items/parts/ebf3_hv_bleeder_chain_terminal_set.yaml,metal,conductive_metal,aluminum_or_copper_conductor,import_nominal,0.08
ebf3_hv_rounded_terminal_set,kb/items/parts/ebf3_hv_rounded_terminal_set.yaml,metal,conductive_metal,aluminum_or_copper_conductor,import_nominal,0.4
ebf3_rotary_worm_shaft,kb/items/parts/ebf3_rotary_worm_shaft.yaml,metal,hardened_steel,hardened_steel,import_until_gap_resolved,1.5
ebf3_rotary_worm_wheel,kb/items/parts/ebf3_rotary_worm_wheel.yaml,metal,bronze_or_hardened_steel,bronze_or_hardened_steel,import_until_gap_resolved,2.0
ebf3_wire_feed_gearbox,kb/items/parts/ebf3_wire_feed_gearbox.yaml,metal,mixed_precision_gearbox_materials,mixed_precision_gearbox_materials,import_until_gap_resolved,0.7
ebf3_wire_feed_roll_bearing_set,kb/items/parts/ebf3_wire_feed_roll_bearing_set.yaml,metal,bearing_steel,bearing_steel,import_until_gap_resolved,0.2
