item_id,parent_ids,name,current_mass_kg,mass_low_kg,mass_high_kg,unit,unit_kind,material_class,material_candidate,material_alternates,material_note,performance_checks,tolerance,surface_finish,sealing_quality,alignment_accuracy,existing_candidate,candidate_mass_kg,candidate_fit,candidate_note,suggested_decision,item_path
ebf3_ebf_wire_guide_tip_wear_orifice,ebf3_ebf_wire_guide_tip,EBF3 ebf wire guide tip wear orifice,0.05,0.02,0.125,unit,discrete,ceramic,alumina_ceramic,porcelain; fused_silica,Select dielectric/thermal grade before recipe work.,motion tolerance/load/lubrication,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,create_leaf_choose_material,kb/items/parts/ebf3_ebf_wire_guide_tip_wear_orifice.yaml
ebf3_emi_filter_capacitor_set,ebf3_emi_filter,EBF3 emi filter capacitor set,0.7,0.28,1.75,unit,discrete,electronic,electronics_board_proxy,imported_electronics,Needs electronics readiness/import decision.,circuit function/rating,,,,,capacitor_bank_filter,0.3,accuracy_risk,"Voltage, ripple current, and dielectric assumptions are hidden.",reuse_with_accuracy_risk,kb/items/parts/ebf3_emi_filter_capacitor_set.yaml
ebf3_emi_filter_choke_set,ebf3_emi_filter,EBF3 emi filter choke set,0.8,0.4,1.6,unit,discrete,electronic,electronics_board_proxy,imported_electronics,Needs electronics readiness/import decision.,basic function/material/scale,,,,,inductor_filter_large,2,accuracy_risk,"Core, winding, insulation, and rating assumptions are hidden.",reuse_with_accuracy_risk,kb/items/parts/ebf3_emi_filter_choke_set.yaml
ebf3_emi_filter_enclosure,ebf3_emi_filter,EBF3 emi filter enclosure,0.3,0.15,0.6,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,basic function/material/scale,,,,,enclosure_electrical_medium,4,likely_reuse,Same-level enclosure if scale and environment pass review.,registered_not_enough_accuracy,kb/items/parts/ebf3_emi_filter_enclosure.yaml
ebf3_feed_liner_end_ferrule_set,ebf3_feed_liner,EBF3 feed liner end ferrule set,0.08,0.04,0.16,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,basic function/material/scale,,,,,,,none,No same-level existing KB candidate found by rule.,create_leaf_choose_material,kb/items/parts/ebf3_feed_liner_end_ferrule_set.yaml
ebf3_feed_liner_tube,ebf3_feed_liner,EBF3 feed liner tube,0.28,0.14,0.56,unit,discrete,composite,composite_placeholder,split_into_materials,Split or proxy if material mix affects closure.,basic function/material/scale,,,,,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_import_decision,kb/items/parts/ebf3_feed_liner_tube.yaml
ebf3_fixed_side_screw_angular_contact_bearing_set,ebf3_fixed_side_screw_bearing_blocks,EBF3 fixed-side screw angular-contact bearing set,0.35,0.14,0.875,unit,discrete,precision_metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,motion tolerance/load/lubrication,review_required,review_required,,review_required,bearing_set_heavy,4,accuracy_risk,"Load, runout, lubrication, and vacuum compatibility need review.",reuse_with_accuracy_risk,kb/items/parts/ebf3_fixed_side_screw_angular_contact_bearing_set.yaml
ebf3_fixed_side_screw_bearing_block_body_set,ebf3_fixed_side_screw_bearing_blocks,EBF3 fixed-side screw bearing block body set,0.5,0.2,1.25,unit,discrete,precision_metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,motion tolerance/load/lubrication,review_required,review_required,,review_required,bearing_set_heavy,4,accuracy_risk,"Load, runout, lubrication, and vacuum compatibility need review.",reuse_with_accuracy_risk,kb/items/parts/ebf3_fixed_side_screw_bearing_block_body_set.yaml
ebf3_fixed_side_screw_bearing_retainer_set,ebf3_fixed_side_screw_bearing_blocks,EBF3 fixed-side screw bearing retainer set,0.15,0.06,0.375,unit,discrete,metal,steel,aluminum,Simple retaining hardware unless high temperature.,motion tolerance/load/lubrication,review_required,review_required,,review_required,bearing_set_heavy,4,accuracy_risk,"Load, runout, lubrication, and vacuum compatibility need review.",reuse_with_accuracy_risk,kb/items/parts/ebf3_fixed_side_screw_bearing_retainer_set.yaml
ebf3_floating_side_screw_bearing_block_body_set,ebf3_floating_side_screw_bearing_blocks,EBF3 floating-side screw bearing block body set,0.55,0.22,1.375,unit,discrete,precision_metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,motion tolerance/load/lubrication,review_required,review_required,,review_required,bearing_set_heavy,4,accuracy_risk,"Load, runout, lubrication, and vacuum compatibility need review.",reuse_with_accuracy_risk,kb/items/parts/ebf3_floating_side_screw_bearing_block_body_set.yaml
ebf3_floating_side_screw_bearing_retainer_set,ebf3_floating_side_screw_bearing_blocks,EBF3 floating-side screw bearing retainer set,0.15,0.06,0.375,unit,discrete,metal,steel,aluminum,Simple retaining hardware unless high temperature.,motion tolerance/load/lubrication,review_required,review_required,,review_required,bearing_set_heavy,4,accuracy_risk,"Load, runout, lubrication, and vacuum compatibility need review.",reuse_with_accuracy_risk,kb/items/parts/ebf3_floating_side_screw_bearing_retainer_set.yaml
ebf3_floating_side_screw_radial_bearing_set,ebf3_floating_side_screw_bearing_blocks,EBF3 floating-side screw radial bearing set,0.3,0.12,0.75,unit,discrete,precision_metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,motion tolerance/load/lubrication,review_required,review_required,,review_required,bearing_set_heavy,4,accuracy_risk,"Load, runout, lubrication, and vacuum compatibility need review.",reuse_with_accuracy_risk,kb/items/parts/ebf3_floating_side_screw_radial_bearing_set.yaml
ebf3_full_bridge_dc_busbar_set,ebf3_full_bridge_inverter,EBF3 full bridge dc busbar set,0.9,0.297,2.7,unit,discrete,metal,aluminum,copper,Use copper only when current density or thermal penalty matters.,voltage/current/dielectric rating,,,,,busbar_distribution_system_v0,12,accuracy_risk,Current rating and conductor geometry need scaling.,reuse_with_accuracy_risk,kb/items/parts/ebf3_full_bridge_dc_busbar_set.yaml
ebf3_full_bridge_gate_driver_board_set,ebf3_full_bridge_inverter,EBF3 full bridge gate driver board set,0.8,0.32,2,unit,discrete,electronic,electronics_board_proxy,imported_electronics,Needs electronics readiness/import decision.,circuit function/rating,,,,,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_import_decision,kb/items/parts/ebf3_full_bridge_gate_driver_board_set.yaml
ebf3_full_bridge_heat_sink,ebf3_full_bridge_inverter,EBF3 full bridge heat sink,1.5,0.75,3,unit,discrete,metal,aluminum,steel,Aluminum is the normal heat-sink material; steel only as closure proxy.,thermal load/temperature rise,,,,,heat_sink_base_machined,4,likely_reuse,Same-level heat-sink hardware if heat load is modest.,registered_not_enough_accuracy,kb/items/parts/ebf3_full_bridge_heat_sink.yaml
ebf3_full_bridge_power_semiconductor_module_set,ebf3_full_bridge_inverter,EBF3 full bridge power semiconductor module set,2.2,0.88,5.5,unit,discrete,electronic,electronics_board_proxy,imported_electronics,Needs electronics readiness/import decision.,circuit function/rating,,,,,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_import_decision,kb/items/parts/ebf3_full_bridge_power_semiconductor_module_set.yaml
ebf3_full_bridge_snubber_component_set,ebf3_full_bridge_inverter,EBF3 full bridge snubber component set,0.6,0.3,1.2,unit,discrete,electronic,electronics_board_proxy,imported_electronics,Needs electronics readiness/import decision.,basic function/material/scale,,,,,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_import_decision,kb/items/parts/ebf3_full_bridge_snubber_component_set.yaml
ebf3_gun_anode,ebf3_fixed_electron_beam_gun,EBF3 gun anode,0.25,0.0825,0.75,unit,discrete,refractory_metal,molybdenum,tungsten,Electron-gun electrode material; aperture/thermal stability dominate.,electron-beam geometry/thermal stability,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_anode.yaml
ebf3_gun_beam_boundary_collector_electrode,ebf3_gun_beam_boundary_pickup,EBF3 gun beam-boundary collector electrode,0.12,0.0396,0.36,unit,discrete,conductive_metal,molybdenum,tungsten,Electron-gun electrode material; precision and thermal stability dominate.,electron-beam geometry/thermal stability,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_beam_boundary_collector_electrode.yaml
ebf3_gun_beam_boundary_pickup_insulator,ebf3_gun_beam_boundary_pickup,EBF3 gun beam-boundary pickup insulator,0.06,0.0198,0.18,unit,discrete,ceramic,alumina_ceramic,porcelain; fused_silica,Use ceramic route; dielectric/creepage rating required.,voltage/current/dielectric rating; electron-beam geometry/thermal stability,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_beam_boundary_pickup_insulator.yaml
ebf3_gun_cathode,ebf3_fixed_electron_beam_gun,EBF3 gun cathode,0.02,0.0066,0.06,unit,discrete,scarce_trace_refractory_metal,tungsten,lanthanum_hexaboride; tantalum,Emission material and lunar availability need dedicated review.,electron-beam geometry/thermal stability,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_cathode.yaml
ebf3_gun_cathode_cartridge_base,ebf3_gun_cathode_cartridge,EBF3 gun cathode cartridge base,0.18,0.0594,0.54,unit,discrete,composite,tungsten,lanthanum_hexaboride; tantalum,Emission material and lunar availability need dedicated review.,electron-beam geometry/thermal stability,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_cathode_cartridge_base.yaml
ebf3_gun_cathode_ceramic_standoff_set,ebf3_gun_cathode_cartridge,EBF3 gun cathode ceramic standoff set,0.05,0.0165,0.15,unit,discrete,ceramic,alumina_ceramic,steel,Use ceramic when electrical/thermal isolation matters; steel only for structural standoffs.,electron-beam geometry/thermal stability,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_cathode_ceramic_standoff_set.yaml
ebf3_gun_cathode_current_lead_pair,ebf3_gun_cathode_heater_leads,EBF3 gun cathode current lead pair,0.1,0.033,0.3,unit,discrete,scarce_trace_refractory_metal,tungsten,lanthanum_hexaboride; tantalum,Emission material and lunar availability need dedicated review.,voltage/current/dielectric rating; electron-beam geometry/thermal stability,review_required,review_required,,review_required,electrical_wire_and_connectors,1,accuracy_risk,"Length, conductor, insulation, and termination need scaling.",needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_cathode_current_lead_pair.yaml
ebf3_gun_cathode_hot_contact_pair,ebf3_gun_cathode_cartridge,EBF3 gun cathode hot contact pair,0.03,0.0099,0.09,unit,discrete,scarce_trace_refractory_metal,tungsten,lanthanum_hexaboride; tantalum,Emission material and lunar availability need dedicated review.,electron-beam geometry/thermal stability,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_cathode_hot_contact_pair.yaml
ebf3_gun_cathode_lead_termination_set,ebf3_gun_cathode_heater_leads,EBF3 gun cathode lead termination set,0.05,0.0165,0.15,unit,discrete,composite,tungsten,lanthanum_hexaboride; tantalum,Emission material and lunar availability need dedicated review.,voltage/current/dielectric rating; electron-beam geometry/thermal stability,review_required,review_required,,review_required,electrical_wire_and_connectors,1,accuracy_risk,"Length, conductor, insulation, and termination need scaling.",needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_cathode_lead_termination_set.yaml
ebf3_gun_cathode_locating_clamp,ebf3_gun_cathode_cartridge,EBF3 gun cathode locating clamp,0.04,0.0132,0.12,unit,discrete,metal,tungsten,lanthanum_hexaboride; tantalum,Emission material and lunar availability need dedicated review.,electron-beam geometry/thermal stability; stiffness/tolerance/interface fit,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_cathode_locating_clamp.yaml
ebf3_gun_cathode_radiation_shield_clip_set,ebf3_gun_cathode_radiation_shield,EBF3 gun cathode radiation shield clip set,0.01,0.0033,0.03,unit,discrete,refractory_metal,steel,aluminum; refractory_foil,Radiation/HV shields may need refractory metal.,electron-beam geometry/thermal stability,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_cathode_radiation_shield_clip_set.yaml
ebf3_gun_cathode_radiation_shield_foil_stack,ebf3_gun_cathode_radiation_shield,EBF3 gun cathode radiation shield foil stack,0.07,0.0231,0.21,unit,discrete,refractory_metal,steel,aluminum; refractory_foil,Radiation/HV shields may need refractory metal.,electron-beam geometry/thermal stability,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_cathode_radiation_shield_foil_stack.yaml
ebf3_gun_cathode_radiation_shield_spacer_set,ebf3_gun_cathode_radiation_shield,EBF3 gun cathode radiation shield spacer set,0.02,0.0066,0.06,unit,discrete,refractory_metal,steel,aluminum; alumina_ceramic,Choose ceramic if electrical/thermal isolation matters.,electron-beam geometry/thermal stability,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_cathode_radiation_shield_spacer_set.yaml
ebf3_gun_column_body_shell,ebf3_gun_column,EBF3 gun column body shell,2.2,0.726,6.6,unit,discrete,vacuum_structural_metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,electron-beam geometry/thermal stability,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_column_body_shell.yaml
ebf3_gun_column_gun_side_mating_flange,ebf3_gun_column,EBF3 gun column gun-side mating flange,0.55,0.1815,1.65,unit,discrete,vacuum_structural_metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,electron-beam geometry/thermal stability,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_column_gun_side_mating_flange.yaml
ebf3_gun_column_internal_support_frame,ebf3_gun_column,EBF3 gun column internal support frame,0.75,0.2475,2.25,unit,discrete,vacuum_structural_metal,steel_structural_stock,aluminum_structural_stock,Select by stiffness and fabrication route.,electron-beam geometry/thermal stability; stiffness/tolerance/interface fit,review_required,review_required,,review_required,structural_frame_small_v0,12,accuracy_risk,"Frame geometry, stiffness, and mounting assumptions need scaling.",needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_column_internal_support_frame.yaml
ebf3_gun_column_optical_axis_datum_set,ebf3_gun_column,EBF3 gun column optical-axis datum set,0.25,0.0825,0.75,unit,discrete,precision_metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,motion tolerance/load/lubrication; electron-beam geometry/thermal stability,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_column_optical_axis_datum_set.yaml
ebf3_gun_control_electrode,ebf3_fixed_electron_beam_gun,EBF3 gun control electrode,0.08,0.0264,0.24,unit,discrete,refractory_metal,molybdenum,tungsten,Electron-gun electrode material; precision and thermal stability dominate.,electron-beam geometry/thermal stability,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_control_electrode.yaml
ebf3_gun_control_electrode_insulator,ebf3_fixed_electron_beam_gun,EBF3 gun control electrode insulator,0.12,0.0396,0.36,unit,discrete,ceramic,molybdenum,tungsten,Electron-gun electrode material; precision and thermal stability dominate.,voltage/current/dielectric rating; electron-beam geometry/thermal stability,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_control_electrode_insulator.yaml
ebf3_gun_deflection_magnetic_yoke,ebf3_gun_two_axis_deflection_coils,EBF3 gun deflection magnetic yoke,0.4,0.132,1.2,unit,discrete,composite,composite_placeholder,split_into_materials,Split or proxy if material mix affects closure.,electron-beam geometry/thermal stability,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_deflection_magnetic_yoke.yaml
ebf3_gun_deflection_x_coil_pair,ebf3_gun_two_axis_deflection_coils,EBF3 gun X-axis deflection coil pair,0.3,0.099,0.9,unit,discrete,composite,composite_placeholder,split_into_materials,Split or proxy if material mix affects closure.,motion tolerance/load/lubrication; electron-beam geometry/thermal stability,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_deflection_x_coil_pair.yaml
ebf3_gun_deflection_y_coil_pair,ebf3_gun_two_axis_deflection_coils,EBF3 gun Y-axis deflection coil pair,0.3,0.099,0.9,unit,discrete,composite,composite_placeholder,split_into_materials,Split or proxy if material mix affects closure.,motion tolerance/load/lubrication; electron-beam geometry/thermal stability,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_deflection_y_coil_pair.yaml
ebf3_gun_diagnostic_signal_feedthrough_insert,ebf3_gun_signal_wiring,EBF3 gun diagnostic signal feedthrough insert,0.18,0.0594,0.54,unit,discrete,composite,composite_placeholder,split_into_materials,Split or proxy if material mix affects closure.,voltage/current/dielectric rating; vacuum leak rate/outgassing; electron-beam geometry/thermal stability,review_required,review_required,review_required,review_required,electrical_feedthrough_vacuum,1,accuracy_risk,"Vacuum seal, pin, dielectric, and voltage rating are fidelity-critical.",needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_diagnostic_signal_feedthrough_insert.yaml
ebf3_gun_dynamic_lens_coil_assembly,ebf3_gun_dynamic_magnetic_lens,EBF3 gun dynamic lens coil assembly,0.5,0.165,1.5,unit,discrete,composite,composite_placeholder,split_into_materials,Split or proxy if material mix affects closure.,electron-beam geometry/thermal stability,review_required,review_required,,review_required,lens_assembly_magnifying,0.4,accuracy_risk,"Optical material, wavelength, and thermal/vacuum environment need review.",needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_dynamic_lens_coil_assembly.yaml
ebf3_gun_dynamic_lens_pole_pieces,ebf3_gun_dynamic_magnetic_lens,EBF3 gun dynamic lens pole pieces,0.3,0.099,0.9,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,electron-beam geometry/thermal stability,review_required,review_required,,review_required,lens_assembly_magnifying,0.4,accuracy_risk,"Optical material, wavelength, and thermal/vacuum environment need review.",needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_dynamic_lens_pole_pieces.yaml
ebf3_gun_dynamic_lens_yoke,ebf3_gun_dynamic_magnetic_lens,EBF3 gun dynamic lens yoke,0.4,0.132,1.2,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,electron-beam geometry/thermal stability,review_required,review_required,,review_required,lens_assembly_magnifying,0.4,accuracy_risk,"Optical material, wavelength, and thermal/vacuum environment need review.",needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_dynamic_lens_yoke.yaml
ebf3_gun_feeder_adapter_body,ebf3_gun_feeder_adapter,EBF3 gun-feeder adapter body,0.42,0.1386,1.26,unit,discrete,vacuum_structural_metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,electron-beam geometry/thermal stability,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_feeder_adapter_body.yaml
ebf3_gun_feeder_wire_path_alignment_sleeve,ebf3_gun_feeder_adapter,EBF3 gun-feeder wire-path alignment sleeve,0.12,0.0396,0.36,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,electron-beam geometry/thermal stability,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_feeder_wire_path_alignment_sleeve.yaml
ebf3_gun_hv_input_central_conductor,ebf3_gun_hv_input,EBF3 gun HV input central conductor,0.18,0.0594,0.54,unit,discrete,conductive_metal,aluminum,copper,Use copper only when conductivity/size penalty matters.,voltage/current/dielectric rating; electron-beam geometry/thermal stability,review_required,review_required,,review_required,electrical_wire_and_connectors,1,accuracy_risk,"Length, conductor, insulation, and termination need scaling.",needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_hv_input_central_conductor.yaml
ebf3_gun_hv_input_flange_housing,ebf3_gun_hv_input,EBF3 gun HV input flange housing,0.28,0.0924,0.84,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,voltage/current/dielectric rating; electron-beam geometry/thermal stability,review_required,review_required,,review_required,enclosure_electrical_medium,4,accuracy_risk,Housing geometry and interface assumptions are hidden.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_hv_input_flange_housing.yaml
ebf3_gun_hv_input_receiving_terminal,ebf3_gun_hv_input,EBF3 gun HV input receiving terminal,0.14,0.0462,0.42,unit,discrete,composite,copper_alloy_contact,steel_mounting_hardware,Electrical contact material; check voltage/current and insulation.,voltage/current/dielectric rating; electron-beam geometry/thermal stability,review_required,review_required,,review_required,terminal_block_set,2,likely_reuse,Same broad terminal-block set; check voltage/current class.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_hv_input_receiving_terminal.yaml
ebf3_gun_hv_insulator_ceramic_body,ebf3_gun_hv_insulator,EBF3 gun HV insulator ceramic body,0.45,0.1485,1.35,unit,discrete,ceramic,alumina_ceramic,porcelain; fused_silica,Use ceramic route; dielectric/creepage rating required.,voltage/current/dielectric rating; electron-beam geometry/thermal stability,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_hv_insulator_ceramic_body.yaml
ebf3_gun_hv_insulator_field_grading_electrode_set,ebf3_gun_hv_insulator,EBF3 gun HV insulator field grading electrode set,0.1,0.033,0.3,unit,discrete,conductive_metal,molybdenum,tungsten,Electron-gun electrode material; precision and thermal stability dominate.,voltage/current/dielectric rating; electron-beam geometry/thermal stability,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_hv_insulator_field_grading_electrode_set.yaml
ebf3_gun_hv_insulator_metallized_end_interface_set,ebf3_gun_hv_insulator,EBF3 gun HV insulator metallized end interface set,0.08,0.0264,0.24,unit,discrete,metal_ceramic_interface,alumina_ceramic,porcelain; fused_silica,Use ceramic route; dielectric/creepage rating required.,voltage/current/dielectric rating; electron-beam geometry/thermal stability,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_hv_insulator_metallized_end_interface_set.yaml
ebf3_gun_hv_insulator_mounting_collar_set,ebf3_gun_hv_insulator,EBF3 gun HV insulator mounting collar set,0.12,0.0396,0.36,unit,discrete,metal,alumina_ceramic,porcelain; fused_silica,Use ceramic route; dielectric/creepage rating required.,voltage/current/dielectric rating; electron-beam geometry/thermal stability,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_hv_insulator_mounting_collar_set.yaml
ebf3_gun_local_diagnostic_signal_lead_set,ebf3_gun_signal_wiring,EBF3 gun local diagnostic signal lead set,0.08,0.0264,0.24,unit,discrete,composite,aluminum_conductor,copper_conductor,"Voltage, vacuum, and temperature decide insulation.",voltage/current/dielectric rating; electron-beam geometry/thermal stability,review_required,review_required,,review_required,electrical_wire_and_connectors,1,accuracy_risk,"Length, conductor, insulation, and termination need scaling.",needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_local_diagnostic_signal_lead_set.yaml
ebf3_gun_main_lens_coil_assembly,ebf3_gun_main_magnetic_lens,EBF3 gun main lens coil assembly,0.9,0.297,2.7,unit,discrete,composite,composite_placeholder,split_into_materials,Split or proxy if material mix affects closure.,electron-beam geometry/thermal stability,review_required,review_required,,review_required,lens_assembly_magnifying,0.4,accuracy_risk,"Optical material, wavelength, and thermal/vacuum environment need review.",needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_main_lens_coil_assembly.yaml
ebf3_gun_main_lens_pole_pieces,ebf3_gun_main_magnetic_lens,EBF3 gun main lens pole pieces,0.7,0.231,2.1,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,electron-beam geometry/thermal stability,review_required,review_required,,review_required,lens_assembly_magnifying,0.4,accuracy_risk,"Optical material, wavelength, and thermal/vacuum environment need review.",needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_main_lens_pole_pieces.yaml
ebf3_gun_main_lens_yoke,ebf3_gun_main_magnetic_lens,EBF3 gun main lens yoke,0.6,0.198,1.8,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,electron-beam geometry/thermal stability,review_required,review_required,,review_required,lens_assembly_magnifying,0.4,accuracy_risk,"Optical material, wavelength, and thermal/vacuum environment need review.",needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_main_lens_yoke.yaml
ebf3_gun_screen_electrode,ebf3_fixed_electron_beam_gun,EBF3 gun screen electrode,0.08,0.0264,0.24,unit,discrete,refractory_metal,molybdenum,tungsten,Electron-gun electrode material; precision and thermal stability dominate.,electron-beam geometry/thermal stability,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_screen_electrode.yaml
ebf3_gun_secondary_electron_ring_collector,ebf3_gun_secondary_electron_pickup,EBF3 gun secondary-electron ring collector,0.1,0.033,0.3,unit,discrete,conductive_metal,conductive_metal,,Current material_class is the starting point.,electron-beam geometry/thermal stability,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_secondary_electron_ring_collector.yaml
ebf3_gun_secondary_pickup_insulator,ebf3_gun_secondary_electron_pickup,EBF3 gun secondary pickup insulator,0.05,0.0165,0.15,unit,discrete,ceramic,alumina_ceramic,porcelain; fused_silica,Use ceramic route; dielectric/creepage rating required.,voltage/current/dielectric rating; electron-beam geometry/thermal stability,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_secondary_pickup_insulator.yaml
ebf3_gun_side_oil_tank,ebf3_fixed_electron_beam_gun,EBF3 gun-side oil tank,0.9,0.297,2.7,unit,discrete,composite,composite_placeholder,split_into_materials,Split or proxy if material mix affects closure.,vacuum leak rate/outgassing; electron-beam geometry/thermal stability,review_required,review_required,review_required,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_side_oil_tank.yaml
ebf3_gun_signal_shield_termination_interface,ebf3_gun_signal_wiring,EBF3 gun signal shield termination interface,0.05,0.0165,0.15,unit,discrete,conductive_metal,steel,aluminum; refractory_foil,Radiation/HV shields may need refractory metal.,electron-beam geometry/thermal stability,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_gun_signal_shield_termination_interface.yaml
