machine_id,file,bucket,priority,classification,recommendation_excerpt,confidence_excerpt
mixer_or_blender,research/machines/mixer_or_blender.md,generic/ambiguous/duplicate needing cleanup,high,"Real practical machine category, but broad.","Keep `mixer_or_blender` as the generic lab/pilot default, but document scope. Recommended options: - Use this item for low-detail mixing/blending where material behavior is not central. - Keep `powder_mixer` separate only if dry powder uniformity, dust containment, or powder metallurgy quality matters.",Confidence: high that the machine category is real; medium that a single 80 kg generic mixer covers all current uses.
molding_press,research/machines/molding_press.md,clear commercial/practical machine,low,"Real practical machine category, but likely duplicate or near-duplicate of `molding_press_basic`.",Prefer consolidation with `molding_press_basic` unless graphite molding needs a distinct service class. Recommended options: - Use `molding_press_basic` as the canonical basic molding press for ordinary compression molding and cold/warm pressing. - Keep `molding_press` only if it is redefined as a graphite-specific or powder-compaction press with explicit differences.,Confidence: high that molding presses are real; high that this item overlaps with `molding_press_basic`; medium on whether `graphite_molding_v0` needs specialized equipment.
molding_press_basic,research/machines/molding_press_basic.md,generic/ambiguous/duplicate needing cleanup,high,"real practical machine, but broad.","Keep as a real machine, but clarify scope. Recommended future wording: ""basic hydraulic compression/powder molding press."" If polymer housings are intended to be injection molded, do not use this as a substitute for an injection molding machine. If rubber, silicone, composites, and thermosets are intended, add heated platen capability and mold tooling. If ceramic/powder metallurgy green pressing is intended, add die/punch/ejector tooling and pressure capacity.","Confidence: high that the machine is real; medium that one basic press covers all current polymer, rubber, silicone, ceramic, and powder-metal uses."
mre_reactor_v0,research/machines/mre_reactor_v0.md,experimental or uncertain commercial maturity,high,"real experimental/pilot technology, not mature commodity equipment.","Keep `mre_reactor_v0`, but mark it as advanced experimental ISRU equipment rather than a mature commodity machine. Recommended cleanup when KB edits are allowed: - Expand the display name to ""Molten regolith electrolysis reactor"" so `MRE` is not opaque. - Keep it distinct from ordinary electrolysis cells and generic chemical reactors.",Confidence: high that the technology is real; medium on the KB mass and build assumptions because the technology is still maturing.
multimeter_set,research/machines/multimeter_set.md,"tooling/instrument/consumable resource",high,real practical tool set / instrument bundle.,Keep `multimeter_set` as a real reusable tool/instrument bundle. Recommended cleanup when KB edits are allowed: - Consolidate lingering `multimeter_digital` references into `multimeter_set` unless a single imported DMM is specifically needed. - Keep this item distinct from `test_equipment_electronics` only when a process needs basic DMM functions and not a full bench-instrument suite.,Confidence: high that the tool set is real and useful.
oscilloscope_basic,research/machines/oscilloscope_basic.md,"tooling/instrument/consumable resource",high,real practical instrument.,"Keep as a real imported instrument. For realism, keep `oscilloscope_basic` as a distinct instrument when processes specifically require waveform observation. Also allow broader recipes or machine sets such as `test_equipment_electronics` to include it as a component. Avoid modeling local manufacture in detail unless electronics closure becomes a priority; imported precision ADCs, displays, references, and probes are reasonable boundary assumptions.",Confidence: high that the item represents real practical equipment and that the import status is realistic.
pcb_development_station,research/machines/pcb_development_station.md,"subsystem/station/infrastructure, not single machine",medium,real practical process station / submodule.,"Keep as a real PCB wet-process station, but clarify scope. Recommended cleanup when KB edits are allowed: - Rename or annotate as ""PCB photoresist development station"" or ""PCB develop/rinse station."" - Keep it as a component/subsystem of `pcb_fab_equipment` unless separate capacity modeling is needed.",Confidence: high that the station is real as a PCB lab subsystem; medium on current mass and whether a separate ID is necessary.
pcb_fab_equipment,research/machines/pcb_fab_equipment.md,"subsystem/station/infrastructure, not single machine",medium,real practical equipment bundle or station.,"Keep as a station/tool bundle for now, but clarify scope. Recommended note: ""Aggregated small PCB prototyping/fabrication station for simple single- and double-sided boards; includes exposure, develop/etch, drilling, and surface finish equipment. Does not represent advanced multilayer industrial PCB fabrication.""",Confidence: high that this is real as a practical equipment bundle; medium on the current mass because component scope is not fully explicit.
pellet_press,research/machines/pellet_press.md,"tooling/instrument/consumable resource",high,"real practical machine/tooling system, but current KB implementation is incomplete.","Keep as a real item, but revise mass/BOM and scope. Recommended future wording: ""laboratory/pilot powder pellet press with die set."" Add explicit components: press frame, hydraulic or screw actuator, die set(s), load/pressure measurement, ejector, optional hopper, and controls if automatic. If the KB uses it for catalyst pellets and regolith cathode pellets, a lab/pilot powder pellet press is appropriate. If it is meant for high-throughput bulk pelletizing, split a larger `pellet_mill` or `briquetting_press`.","Confidence: high that pellet presses are real; high that the KB BOM is incomplete; medium on whether one press covers all catalyst, regolith, and powder metallurgy uses."
plastic_extruder,research/machines/plastic_extruder.md,generic/ambiguous/duplicate needing cleanup,high,"real practical machine, modeled as a generic small single-screw plastic extruder.","Keep `plastic_extruder` as a real machine, but consider clarifying the item name or notes to ""small single-screw plastic extruder"" if future KB edits are allowed. The current ID is acceptable as a generic capacity provider. Recommended interpretation: - Keep as a machine, not a part or placeholder. - Treat as a generic small single-screw extruder suitable for profiles, simple sheet/gasket stock, and coarse filament/profile output.",Confidence: high.
plate_rolling_mill,research/machines/plate_rolling_mill.md,clear commercial/practical machine,low,real practical machine.,"Keep `plate_rolling_mill` as the canonical rolling mill. Recommended cleanup when KB edits are allowed: - Clarify in notes or display name that this is a flat rolling/reduction mill, not a roll-bending machine for curved shells. - Keep the current consolidation decision: use this for generic rolling operations unless a process needs a materially different mill.",Confidence: high that the machine is real; medium on whether one canonical mill can cover all current materials and section sizes.
powder_mixer,research/machines/powder_mixer.md,generic/ambiguous/duplicate needing cleanup,high,"real practical machine, but generic category rather than one exact design.","Keep `powder_mixer` as a real machine, but clarify the subtype if future KB edits are allowed. Recommended interpretation: - Keep as a small powder blender for metal/ceramic powders. - Do not collapse into `cement_mixer_small`; concrete/cement mixing and powder metallurgy blending have different contamination, dust, uniformity, and cleaning requirements.",Confidence: high that powder mixers are real and that the KB item is plausible; medium on whether this should be a distinct imported machine rather than a variant of a broader mixer item.
power_conditioning_equipment,research/machines/power_conditioning_equipment.md,"subsystem/station/infrastructure, not single machine",medium,real practical equipment category / bundled electrical subsystem.,"Keep as a system-level imported or locally assembled subsystem, but clarify scope. Recommended future wording: ""Integrated power conditioning cabinet for solar/thermionic generation: inverters, DC/DC conversion, voltage regulation, protection, filters, and controls."" If future recipes require a specific electrical function, use a specific item (`inverter_dc_to_ac_v0`, `power_supply_dc_high_current_v0`, etc.) rather than this broad umbrella.",Confidence: high that the equipment category is real; medium that the single 80 kg generic item is the right abstraction for all current uses.
power_distribution_bus,research/machines/power_distribution_bus.md,"subsystem/station/infrastructure, not single machine",medium,"real practical electrical infrastructure/equipment, not a manufacturing machine.","Keep `power_distribution_bus`, but describe it as electrical distribution infrastructure rather than a machine. Specific recommendation: - Keep as a real equipment item. - Consider renaming/displaying as ""power distribution busbar cabinet"" or ""busbar distribution assembly"" if future KB edits are allowed.",Confidence: high that the equipment is real and useful; high that it is infrastructure rather than a production machine.
power_hammer_or_press,research/machines/power_hammer_or_press.md,generic/ambiguous/duplicate needing cleanup,high,"real practical machine category, but broad/ambiguous name.","Keep for now, but rename or clarify. Best recommendation: interpret the current item as `forging_power_hammer_basic` because the BOM includes a hammer frame, hammer head, drive motor, and anvil block. If the KB later needs sustained-pressure forging or closed-die press forging, model that separately as `forging_press_basic` or reuse an existing `hydraulic_press`/`forging_press_v0` after dedupe review.","Confidence: high that the equipment category is real and relevant; medium that the current combined ""hammer or press"" ID is the cleanest KB abstraction."
power_supply_benchtop,research/machines/power_supply_benchtop.md,"tooling/instrument/consumable resource",high,real practical instrument.,"Keep `power_supply_benchtop` as a real low-power test instrument. Recommended cleanup when KB edits are allowed: - Consider moving path/classification consistency: the file is under `parts` but declares `kind: machine`. - Keep it distinct from high-current electrolysis, welding, hot-wire, and furnace power supplies.",Confidence: high that the item is real and useful.
precision_lathe,research/machines/precision_lathe.md,clear commercial/practical machine,low,Real practical machine.,"Keep `precision_lathe` as a real high-value imported machine. Recommended boundaries: - Keep it distinct from `lathe_engine_v0`; use the smaller engine lathe for general turning and this item for tight-tolerance leadscrews, ball screws, headstocks, bores, and precision shafts. - Do not merge turning operations into `cnc_mill`; turning and milling are different process geometries.",Confidence: high that the machine is real and correctly separated from generic engine-lathe capability; medium on whether the current KB recipes fully capture the metrology and scraping/grinding burden.
precision_levels,research/machines/precision_levels.md,"tooling/instrument/consumable resource",high,Real practical metrology tool set.,"Keep `precision_levels`, but classify or describe it as calibrated metrology tooling rather than a machine. Recommended refinements: - Rename or alias conceptually to `precision_level_set` or `precision_machinist_levels`. - Keep the 0.02 mm/m target; it is commercially realistic. - Add explicit components for precision vial/electronic level sensor, adjustment hardware, protective case, and calibration/reference procedure.",Confidence: high that the item is real and commercially available; high that the KB mass and accuracy are plausible; medium on whether local manufacture is realistic without importing the vial/sensor and calibration reference.
precision_tooling_set,research/machines/precision_tooling_set.md,"tooling/instrument/consumable resource",high,"real practical tooling set, not a standalone machine.","Keep the concept, but reclassify it as precision tooling/consumables rather than a machine. Recommended future cleanup: - Keep `cutting_tools_general` for broad manual/basic cutting. - Use `precision_tooling_set` for precision machine-tool cutters. - Add explicit specialty tooling where a process needs gear hobs, broaches, thread taps, boring heads, or carbide inserts.",Confidence: high that the item is real and useful; high that it is tooling rather than a machine; medium on whether the current recipe covers the desired carbide/toolholder sophistication.
press_brake,research/machines/press_brake.md,clear commercial/practical machine,low,real practical machine.,"Keep `press_brake` as a real practical machine, but continue treating it as a specialized forming resource. Recommended cleanup when KB edits are allowed: - Keep the item distinct from `plate_rolling_mill` for straight-line bending and matched punch/die work. - Avoid using it as a catch-all forming press. For generic pressing, use a hydraulic/forming press; for curved plates, use a roller; for high-volume stamped parts, use a stamping press.",Confidence: high that the machine is real and that the KB function is plausible.
press_brake_die_set,research/machines/press_brake_die_set.md,"tooling/instrument/consumable resource",high,"Real practical tooling set, not a standalone machine.","Keep the item, but treat it explicitly as tooling. Recommended options: - Rename or annotate as `press_brake_tooling_set` if the KB wants clearer language. - Change `kind` from `machine` to a tooling/part category when schema support allows it, while preserving process requirements through a tooling requirement field.","Confidence: high that this is a real, necessary tooling set; high that the current 40 kg value is plausible for a basic set; medium on exact recipe hours because heat treatment and precision grinding depend strongly on tooling length and tolerance."
press_ram_set,research/machines/press_ram_set.md,"tooling/instrument/consumable resource",high,"Real practical press component/tooling set, not a standalone machine.","Keep as tooling/component if needed, but do not count it as an imported machine. Recommended options: - Treat `press_ram_set` as a press tooling/accessory set. - Keep it paired with `hydraulic_press` or another actual press in process requirements. - Consider folding it into `pressing_mold_set` or press tooling requirements if it is only a generic adapter inventory.",Confidence: high that press rams/accessories are real; high that the item is not a standalone machine; medium on whether it deserves a separate KB item instead of being included with press tooling.
pressing_mold_set,research/machines/pressing_mold_set.md,"tooling/instrument/consumable resource",high,"Real practical tooling set, not a standalone machine.","Keep the item, but classify it conceptually as press tooling. Recommended options: - Keep `pressing_mold_set` separate from `pellet_press` and `hydraulic_press`. - Treat it as reusable tooling/part set rather than a machine when schema support allows. - Preserve generic use for coarse modeling, but add part-specific molds where geometry matters, such as ferrite toroids, regolith bricks, battery electrodes, or ceramic blocks.","Confidence: high that the item represents real practical tooling; high that it should not be treated as a standalone machine; medium on whether one generic mold set should cover all current powder, ferrite, ceramic, and regolith geometries."
pyrolysis_chamber_v0,research/machines/pyrolysis_chamber_v0.md,generic/ambiguous/duplicate needing cleanup,high,"Real practical reactor category, but specialized and not yet a commodity generic machine.","Keep the item as a methane-pyrolysis-specific reactor, not a generic high-temperature chemical reactor. Recommended options: - Rename or document as `methane_pyrolysis_reactor_v0` if that is its only current use. - Keep separate from `chemical_reactor_basic`; methane pyrolysis has distinct high-temperature gas/carbon-handling requirements.",Confidence: high that methane pyrolysis reactors are real; medium that a simple 120 kg chamber adequately models the KB process without additional gas/carbon handling equipment.
quench_tank,research/machines/quench_tank.md,clear commercial/practical machine,low,"real practical machine/equipment, with a spectrum from simple tank to controlled industrial quench system.","Keep `quench_tank` as a real machine/equipment item. Recommended interpretation: - Keep as a small controlled quench tank, not merely a passive container. - The BOM is realistic in concept: tank shell, agitation, lid/basket, sensors, and controls are all plausible. - Consider clarifying whether the modeled quench medium is water, oil, or polymer for each heat-treatment process. The equipment and safety requirements differ.",Confidence: high.
reduction_furnace_v0,research/machines/reduction_furnace_v0.md,generic/ambiguous/duplicate needing cleanup,high,"real practical machine category, but broad.","Keep `reduction_furnace_v0` as a real machine category, but narrow the description to ""compact controlled-atmosphere reduction furnace"" or ""pilot-scale metal oxide reduction furnace."" Do not treat one generic reduction furnace as fully interchangeable across every reduction route. Future KB work should distinguish at least:",Confidence: high that reduction furnaces are real and relevant; medium that the KB item's broad capabilities can be represented by one compact machine.
refractory_installation_tools,research/machines/refractory_installation_tools.md,"tooling/instrument/consumable resource",high,"real practical tool kit / equipment bundle, not a standalone machine.","Keep the item, but rename/interpret it as a tool kit. Specific recommendation: - Keep as real practical tooling for refractory work. - Treat as `refractory_installation_toolkit` or ""refractory lining tool kit"" if future edits are allowed. - Do not model this as a machine unless the simulator needs all capacity providers under `kind: machine`.",Confidence: high that the function is real; high that the current item is a toolkit/bundle rather than a single machine.
resource_3d_printer_cartesian_v0_machine,research/machines/resource_3d_printer_cartesian_v0_machine.md,generic/ambiguous/duplicate needing cleanup,high,"real practical machine, with duplicate/naming issues.","Keep the machine concept, but deduplicate and clarify capability. Recommended future cleanup: - Use one canonical basic FDM/FFF printer item unless the `resource_` prefix has a schema meaning. - Reserve `resource_3d_printer_cartesian_v0_machine` for a specific Cartesian printer if embedded SMA printing requires special toolheads or process controls.",Confidence: high that the machine is real; high that the KB has duplicate printer concepts; medium on whether embedded SMA printing requires a special printer variant.
rock_crusher_basic,research/machines/rock_crusher_basic.md,generic/ambiguous/duplicate needing cleanup,high,real practical machine / broad but acceptable category.,"Keep `rock_crusher_basic` as the canonical coarse crusher. The item is realistic and useful as a generic imported machine. If refined later, document it specifically as a small jaw crusher rather than ""jaw or cone"" because the current BOM and recipe are jaw-crusher shaped. Do not split unless the KB needs separate throughput classes; the existing 5x magnitude reuse policy supports keeping one coarse item.",Confidence: high that this is a real practical machine and appropriate for the KB.
rolling_mill_v0,research/machines/rolling_mill_v0.md,clear commercial/practical machine,low,"Real practical machine, but likely redundant with `plate_rolling_mill`.","Prefer consolidation with `plate_rolling_mill` unless a smaller shop-scale variant is intentional. Recommended options: - Use `plate_rolling_mill` as the canonical item for flat rolling/reduction of ingots, billets, sheet, plate, strip, and bar. - Keep `rolling_mill_v0` only if it is explicitly defined as a smaller shop/lab rolling mill for limited stock sizes.",Confidence: high that rolling mills are real; high that this item overlaps with `plate_rolling_mill`; medium on whether a smaller variant is intentionally needed for electrical steel sheet production.
sand_casting_flask_set,research/machines/sand_casting_flask_set.md,"tooling/instrument/consumable resource",high,"real practical tooling set, not a machine in the ordinary sense.","Keep the concept, but clarify it as reusable foundry tooling. Recommended future KB wording: ""Reusable cope/drag flask tooling for sand casting; not consumed by the process."" If schema flexibility allows, this would be better as `kind: part` or `kind: tooling`, but under the current resource requirement model it is acceptable as a machine-like capacity provider.",Confidence: high that this is real practical foundry tooling and appropriate for sand casting.
saw_or_cutting_tool,research/machines/saw_or_cutting_tool.md,"tooling/instrument/consumable resource",high,real practical hand tool / generic name needs cleanup.,"Keep the item, but rename or annotate it as a specific manual saw. Recommended cleanup when KB edits are allowed: - Rename display name to ""Hand hacksaw"" or ""Manual metal-cutting saw"" rather than ""Saw or cutting tool"". - Keep the 1 kg mass for a hand saw with spare blade/hardware. - Use `cutting_tools_general` for a broader manual cutting kit and `metal_shear_or_saw` for heavier shop cutting.",Confidence: high that the item is real as a hand saw; medium that every current process reference is the best fit.
screening_equipment,research/machines/screening_equipment.md,clear commercial/practical machine,low,real practical machine category.,"Keep as a real generic screening/sieving machine. Recommended future wording: ""Compact vibratory screen/sieve classifier for regolith, aggregate, and powder size fractions."" If the KB later needs high-throughput mining screens or fine metal-powder classification, add scale/capability variants or use `metal_powder_sieving_system_v0` for powder-specific needs.",Confidence: high that the equipment is real and appropriate; medium that one 56 kg item covers all current scale and powder/aggregate use cases.
sintering_furnace_v0,research/machines/sintering_furnace_v0.md,generic/ambiguous/duplicate needing cleanup,high,"real practical machine category, but the current KB status is internally inconsistent.","Keep the concept as real, but resolve the deprecation inconsistency. Recommended path: if all current sintering processes can tolerate a generic high-temperature furnace, replace their machine references with `furnace_basic` or `furnace_high_temp` and remove this item from the imported self-reproducing set. If any processes need controlled atmosphere, vacuum, clean hot zone, or powder/ceramic sintering cycle control, retain this item and rename it to something more specific such as `controlled_atmosphere_sintering_furnace_v0` or `vacuum_sintering_furnace_v0`.",Confidence: high that the machine category is real and relevant; high that the current deprecated note conflicts with active usage; medium on the best consolidation target.
solar_array_v0,research/machines/solar_array_v0.md,"subsystem/station/infrastructure, not single machine",medium,"real practical infrastructure/equipment, not a manufacturing machine.","Keep `solar_array_v0`, but treat it as installed power infrastructure/equipment rather than a machine. Specific recommendation: - Keep the item as real and practical. - Keep PV modules imported unless the KB adds a serious photovoltaic manufacturing chain. - Clarify scope if future KB edits are allowed: ""small installed PV array with BOS"" or split `solar_array_v0` into PV modules, racking/mount, power conditioning, and installation.",Confidence: high that the item is real and useful; high that it is infrastructure rather than a machine in the normal manufacturing sense.
solar_tracking_optional,research/machines/solar_tracking_optional.md,"subsystem/station/infrastructure, not single machine",medium,"Real practical equipment/subsystem, not a manufacturing machine.","Keep the item, but classify it as optional solar infrastructure/equipment rather than a generic machine. Recommended refinements: - Rename or scope as `solar_tracker_single_axis_small` if the intended scale is one small array. - If dual-axis concentrator tracking is needed, model that separately because the structure, precision, control, and maintenance burden are different.","Confidence: high that solar trackers are real and practical; high that the KB decomposition is directionally realistic; medium on the 121.5 kg mass because tracker mass depends on panel area, wind/launch/lunar loads, axis count, bearings, and foundations."
soldering_station,research/machines/soldering_station.md,"tooling/instrument/consumable resource",high,real practical bench tool/station.,"Keep as a real reusable bench station. Recommended future clarification: ""Temperature-controlled hand soldering station for wiring, through-hole work, PCB touch-up, and low-volume electronics assembly."" Do not treat it as a full PCB production line. For SMT boards, pair it with solder paste/reflow equipment or keep those processes separate.",Confidence: high that the item is real and appropriate.
spinning_machine_v0,research/machines/spinning_machine_v0.md,generic/ambiguous/duplicate needing cleanup,high,"real practical machine, but overloaded in the KB.","Split or retarget the overloaded usage. Recommended cleanup: - Keep `spinning_machine_v0` as the textile/fiber/yarn spinning machine. - Add or reuse a separate machine for metal spinning, such as `metal_spinning_lathe_v0` or `cnc_metal_spinning_machine_v0`. - Update `metal_spinning_process_v0` to require the metal-spinning machine, not `spinning_machine_v0`.",Confidence: high that the current item is real for textile spinning; high that the metal-spinning usage is a mismatch.
stamping_press_basic,research/machines/stamping_press_basic.md,clear commercial/practical machine,low,"Real practical machine, but the KB name is broad and the current ""basic"" model should be treated as a low-end hydraulic/mechanical stamping press plus die/tooling, not as a complete high-speed lamination line.","Keep the machine concept, but clarify it. Recommended options: - Rename to `c_frame_stamping_press_basic` or `hydraulic_stamping_press_basic` if this is intended to represent the current welded-frame hydraulic build recipe. - Keep `stamping_press_basic` only as a generic imported capability if the KB intentionally abstracts away drive type and tonnage.",Confidence: high that stamping presses are real and appropriate for sheet-metal punching/lamination work; medium that the current 1000 kg hydraulic C-frame model is adequate for the specific KB lamination rates.
steel_forming_press,research/machines/steel_forming_press.md,clear commercial/practical machine,low,real practical machine category.,"Keep the item, but consider renaming or clarifying it as `hydraulic_metal_forming_press` or adding notes that `steel_forming_press` means a generic hydraulic metal-forming press. Do not split it immediately for the current processes. The existing KB usage needs generic forming capacity, and the BOM is plausible. If later processes require precision straight bends, high-rate stamping, deep drawing, or hot forging, use more specific machines such as `press_brake`, `stamping_press_basic`, `deep_draw_press`, or `forging_press_v0`.",Confidence: high that the machine category is real and practical; medium that the 670 kg KB machine can cover all current steel shell and sheet-forming use cases.
surface_grinder,research/machines/surface_grinder.md,clear commercial/practical machine,low,Real practical machine.,"Keep `surface_grinder` as a real machine. Recommended refinements: - Preserve it as the default flat-surface precision grinder, as existing dedupe notes already suggest. - Do not use it as the only grinder for cylindrical rolls, bearing races, balls, or internal/external diameters; use cylindrical/bearing-specific grinders where geometry matters.","Confidence: high that the item is real; high that the KB mass/BOM are plausible; medium that all current process references are scoped correctly because some finishing/polishing processes may need lapping, polishing, or cylindrical grinding instead."
surface_treatment_station,research/machines/surface_treatment_station.md,clear commercial/practical machine,low,Real practical machine.,"Keep `surface_treatment_station` as a real generic wet-chemical surface-treatment machine. Recommended refinements: - Define its scope as wet chemical cleaning, etching, pickling, passivation, anodizing, and coating preparation. - Avoid using it for paint, epoxy, powder coating, spray coating, drying/curing, or photoresist spin coating; those should use `coating_station` or `spin_coating_station_v0`.",Confidence: high that the item is real; high that the BOM is directionally plausible for a compact wet-process station; medium that current process scoping is clean because `surface_treatment_basic_v0` currently mentions simple protective coatings as well as wet chemical prep.
temperature_sensing,research/machines/temperature_sensing.md,"tooling/instrument/consumable resource",high,"Real practical instrumentation category, but not a machine and not a good single imported item.",Treat `temperature_sensing` as superseded. Do not keep it in an imported machine list as a real machine. Recommended handling: - Remove `temperature_sensing` from imported-machine lists once references are migrated. - Use `thermocouple_contact_temperature_sensor_v0` plus `temperature_controller_module` for ordinary furnace/platen/shell feedback.,Confidence: high that the category is real; high that it should remain deprecated and replaced with specific sensor assemblies; high that it is instrumentation rather than a machine.
tension_control_system,research/machines/tension_control_system.md,"subsystem/station/infrastructure, not single machine",medium,real practical subsystem / generic industrial equipment category.,"Keep, but treat as a generic subsystem rather than a single highly specific machine. Recommended wording if the KB is later edited: rename or document it as `tension_control_subsystem` for fiber/wire/web handling. The current 25 kg mass is plausible for a compact industrial subsystem with frame, sensor, brake/drive, and electronics. The recipe is also directionally plausible, although it duplicates some BOM concepts and should eventually align component names with the BOM.",Confidence: high that this represents real industrial equipment and is needed for fiber drawing/winding realism.
tension_gauge,research/machines/tension_gauge.md,"tooling/instrument/consumable resource",high,"real practical instrument/tooling item, but probably not a machine.","Keep the object, but consider reclassifying it as a tool/instrument rather than a machine. Recommended future cleanup: - Treat `tension_gauge` as a portable measurement tool or calibration instrument. - Use it as a component of `tension_control_system` where continuous feedback is needed. - Avoid requiring it as a full machine unless the schema has no better tooling category.",Confidence: high that the object is real and practical; high that it is better modeled as an instrument/tool than as a machine.
test_bench_electrical,research/machines/test_bench_electrical.md,"subsystem/station/infrastructure, not single machine",medium,Real practical workstation or test station bundle.,"Keep the item, but choose one interpretation and align the BOM/process usage. Recommended options: - If it is bench infrastructure, rename or note as `electrical_test_bench_infrastructure` and keep separate instrument requirements in processes. - If it is the canonical full electrical/electronics test capability, update future BOM/modeling to include or reference `multimeter_set`, `power_supply_benchtop`, `oscilloscope_basic`, test leads, loads, and signal generation as appropriate.",Confidence: high that electrical test benches are real and useful; medium on the current KB scope because the BOM and dedupe notes imply different levels of included instrumentation.
tube_bender,research/machines/tube_bender.md,clear commercial/practical machine,low,Real practical machine.,"Keep `tube_bender` as a real, distinct machine. Recommended options: - Keep separate from `press_brake`; tube bending and sheet bending use different tooling and constraints. - Add or document tube bending die sets/mandrels where bend quality matters. - Use hand/benchtop/hydraulic/CNC variants only if process scale or tolerance requires it.",Confidence: high that this is real and appropriate; medium on whether the KB needs mandrel/CNC features for all current tube processes.
uv_exposure_unit,research/machines/uv_exposure_unit.md,clear commercial/practical machine,low,Real practical machine.,"Keep the item as real PCB/photoresist equipment. Recommended options: - Keep separate from `pcb_development_station`; exposure and development are different process steps. - Keep as a component of `pcb_fab_equipment` where full PCB fabrication is abstracted. - Add or document mask/contact frame, timer, UV shielding, and alignment features if precision matters.",Confidence: high that the item is real and appropriate for simple PCB photoresist work; medium on the 100 kg mass and missing alignment/vacuum/timer details.
vacuum_pump_small,research/machines/vacuum_pump_small.md,clear commercial/practical machine,low,Real practical machine.,"Keep `vacuum_pump_small` as the canonical small vacuum pump. Recommended boundaries: - Treat it as a roughing/medium-vacuum pump unless a process states a deeper vacuum level. - For vacuum tubes, semiconductor-like processing, vacuum furnaces, and high-purity systems, require or document additional equipment: vacuum chamber, gauges, valves, traps/filters, high-vacuum pump stage, and bakeout/cleaning where appropriate.",Confidence: high that this is a real machine and a useful canonical KB item; medium on whether it is adequate for all current vacuum-tube and furnace usages without a higher-vacuum stage.
vapor_capture_system_v0,research/machines/vapor_capture_system_v0.md,"subsystem/station/infrastructure, not single machine",medium,real practical subsystem/system category.,"Keep as a real system category, but narrow or split by volatile class. For lunar water extraction, the current BOM is reasonable as a small vapor capture/cold-trap subsystem. Recommended wording: ""water vapor capture and cold-trap condensation system for thermal regolith extraction."" If the same item is used for HCl, ammonia, Mg vapor, or high-temperature metal vapors, add process-specific variants or note compatible materials and capture temperatures.",Confidence: high that the item is real and relevant; medium that one 80 kg system covers all current chemical uses.
vibrating_screen_v0,research/machines/vibrating_screen_v0.md,clear commercial/practical machine,low,real practical machine.,"Keep as a real vibrating-screen subtype, but review overlap with `screening_equipment`. Recommended cleanup when KB edits are allowed: - If `screening_equipment` is intended to mean a vibrating screen, consolidate references into one canonical item. - If both remain, document `screening_equipment` as a broader screening kit/station and `vibrating_screen_v0` as the concrete vibrating deck machine.",Confidence: high that the machine is real and useful.
vibratory_feeder_v0,research/machines/vibratory_feeder_v0.md,clear commercial/practical machine,low,real practical machine.,"Keep `vibratory_feeder_v0` as a real imported/manufacturable machine. Recommended cleanup when KB edits are allowed: - Rename or annotate display name as ""Bulk-material vibratory feeder"" or ""Vibratory trough feeder"" to distinguish it from small parts-orienting bowl feeders. - Keep the current BOM structure. The trough, vibration motor set, welded frame, controller/sensor package, power conditioning, and fasteners are realistic subsystem categories.",Confidence: high that the item represents a real practical machine and that the KB usage is plausible.
welding_consumables,research/machines/welding_consumables.md,"tooling/instrument/consumable resource",high,"real consumable material set, not a machine.","Keep the concept, but reclassify as consumable material inventory rather than a machine. Recommended future cleanup: - Split by process/material where needed: steel stick electrodes, TIG filler rods, MIG wire, aluminum filler wire, stainless filler, tungsten electrodes, flux, shielding gas. - Treat mass as consumed by welding recipes.",Confidence: high that welding consumables are real; high that the item is misclassified as a machine; medium on the best split by welding process.
welding_power_supply_v0,research/machines/welding_power_supply_v0.md,clear commercial/practical machine,low,Real practical machine.,"Keep `welding_power_supply_v0` as a real welding machine. Recommended refinements: - Define it as a general CC/CV arc-welding power source for basic structural welding unless a process-specific welder is required. - Keep `welding_tig_unit_v0` for complete TIG/GTAW systems with shielding gas, torch, coolant, and precision weld controls.",Confidence: high that this is real and necessary; high that 99 kg is plausible for a shop-grade system; medium on scope because the BOM includes torch/cables and overlaps with complete process-specific welders.
welding_tig_unit_v0,research/machines/welding_tig_unit_v0.md,clear commercial/practical machine,low,real practical machine.,"Keep the item. Recommended clarification: describe it as a complete TIG/GTAW welding station rather than only a ""unit."" The current BOM is realistic at the functional level, but it mixes gas cylinder inventory, manifolds, cooling, power electronics, and controls into one machine. That is acceptable for the current conservative KB model.",Confidence: high that the machine is real and practical; high that it matches the KB's current welding processes.
welding_tools_set,research/machines/welding_tools_set.md,"tooling/instrument/consumable resource",high,"real tool/accessory/PPE kit, not a standalone welding machine.","Keep the concept, but reclassify it as welding tools/PPE/accessories rather than a machine. Do not use `welding_tools_set` alone as the machine that performs welding. Welding processes should require both an appropriate welding machine, such as `welding_tig_unit_v0` or `welding_arc_welder_v0`, and this tool/PPE/accessory kit where manual welding is modeled.",Confidence: high that the item is real as a kit; high that it is not a standalone machine.
winding_drums,research/machines/winding_drums.md,"tooling/instrument/consumable resource",high,"Real practical subassembly/tooling set, not a standalone machine.","Keep as a subassembly or tooling set, not a complete machine. Recommended options: - Treat `winding_drums` as a component of `winding_machine_v0` or fiber/wire take-up equipment. - For electrical coils, use `coil_winding_machine` rather than bare winding drums. - For basalt fiber, pair winding drums with tension control, traverse, speed control, and upstream fiber production equipment.",Confidence: high that winding drums are real; high that they are a subassembly rather than a standalone machine; medium on whether 51 kg matches the intended fiber/cable scale.
