source_row_number,item,cad_file,website_status,website_reason,step_export_status,material_primary,material_specificity,function_evidence_basis,mass_evidence_basis,material_evidence_basis,how_to_make_evidence_basis
123,3L,3L_flexible_pipe_ISO_K_DN63_320SWN063-0750,Useful link,original BOM link is row-specific/useful; research result has independent vendor-spec evidence,matched_existing,stainless steel: flange 1.4301 / AISI 304; bellows 316L,Specific material,bom_provided,independent_vendor_spec,independent_vendor_spec,engineering_hypothesis
124,3M,3M_pipe_ISO_K_DN63_320RZS063_L_218,Useful link,original BOM link is row-specific/useful,matched_existing,stainless steel 1.4301 / AISI 304,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
125,3N1,3N1_curvature_320SWN063,Unusable link,"Original link identifies a parent product/module while this row is a subpart, dummy, or simplified CAD representation.",matched_existing,Stainless steel; official full product material split is 316L bellows with 304 stainless flanges.,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
126,3N2,3N2_end_piece_320SWN063,Useful link,original BOM link is row-specific/useful,matched_existing,stainless steel 1.4301/304 for the rigid flange/end piece,Specific material,bom_provided,bom_provided,bom_provided,bom_provided
127,3O1,3O1_curvature_320SWN063,Unusable link,"Original link identifies a parent product/module while this row is a subpart, dummy, or simplified CAD representation.",matched_existing,stainless steel vacuum bellows/hose family: 1.4301/304 flange material and 316L bellows material for DN 63 ISO-K flexible connector hardware,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
128,3O2,3O2_curvature_320SWN063,Useful link,original BOM link is row-specific/useful,matched_existing,"stainless steel bellows material, DN 63 bellows 316L; associated spring-bellows product flanges are stainless steel 304",Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
129,3O3,3O3_end_piece_320SWN063,Useful link,original BOM link is row-specific/useful,matched_existing,stainless steel 304 / EN 1.4301 for the end-piece flange fitting,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
130,3O4,3O4_end_piece_320SWN063,Useful link,original BOM link is row-specific/useful,matched_existing,stainless steel 304 / EN 1.4301 flange or end-piece material,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
131,3P1,3P1_cyclone_separator,Useful link,research result has independent vendor-spec evidence,matched_existing,stainless steel cyclone separator body,Specific material,independent_vendor_spec,bom_provided,bom_provided,engineering_hypothesis
132,3P2,3P2_flange_ISO_K_DN63,Unusable link,Original BOM link was stale/broken/not loading.,matched_existing,stainless steel 1.4301/304,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
133,3P3,3P3_valve_ISO_K_DN63_310VEP063-01,Useful link,original BOM link is row-specific/useful,matched_existing,"aluminum housing; FKM seal; stainless steel bellows/feedthrough; electro-pneumatic actuator, pilot valve, and microswitch position indicator components",Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
134,3P4,3P4_filter_ISO_K_DN63_CSL-357y2-K,Useful link,original BOM link is row-specific/useful; research result has independent vendor-spec evidence,matched_existing,"corrosion-resistant carbon steel housing with powder-coat finish; stainless steel ISO flange and clips; Buna/NBR-style O-ring seal; replaceable polyester filter insert, with paper insert available as an alternative",Specific material,bom_provided,independent_vendor_spec,independent_vendor_spec,engineering_hypothesis
135,3P5,3P5_reduction_ISO_K_DN100_DN63_320RRK100-063-63,Useful link,original BOM link is row-specific/useful,matched_existing,stainless steel 1.4301 / AISI 304,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
136,3P6,3P6_powder_container_2_liter,Useful link,original BOM link is row-specific/useful,matched_existing,Steel AISI 1144 container body; AMPROVED product-family page describes the 2 L powder container as stainless steel.,Specific material,bom_provided,bom_provided,bom_provided,bom_provided
137,3P7,3P7_reduction_ISO_K_DN63_KF_DN40,Useful link,original BOM link is row-specific/useful,matched_existing,stainless steel 1.4301/304,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
138,3Q1,3Q1_pipe_ISO_K_DN100_320RZS100,Useful link,original BOM link is row-specific/useful,matched_existing,stainless steel 1.4301/304,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
139,3Q2,3Q2_angle_pipe_ISO_K_DN100_320RRB100-90,Useful link,original BOM link is row-specific/useful,matched_existing,stainless steel 1.4301/304,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
140,3Q3,3Q3_seal_ISO_K_DN100_311ZRA100,Useful link,original BOM link is row-specific/useful,matched_existing,Aluminum outer ring with NBR O-ring,Specific material,bom_provided,engineering_hypothesis,bom_provided,engineering_hypothesis
141,3Q4,3Q4_clamp_ISO_K_DN100_320BKL250,Unusable link,Original BOM link was stale/broken/not loading.,matched_existing,stainless steel 1.4401/316 bracket screw; media-contact material stainless steel 1.4404/AISI 316L,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
142,3Q5,3Q5_clamp_ISO_K_DN100_350BPD100,Useful link,original BOM link is row-specific/useful,matched_existing,zinc-plated steel,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
143,3R1,3R1_clamp_ISO_K_DN63_350BPD100,Useful link,original BOM link is row-specific/useful,matched_existing,zinc-plated steel,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
144,3R2,3R2_seal_ISO_K_DN63_311ZRA063,Useful link,original BOM link is row-specific/useful,matched_existing,aluminum ring with NBR O-ring,Specific material,bom_provided,engineering_hypothesis,bom_provided,engineering_hypothesis
145,3S1,3S1_flange,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown structural metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
146,3S2,3S2_mount,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
147,3S31,3S31_part_1,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy sheet or thin-wall duct material,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
148,3S32,3S32_part_2,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy sheet,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
149,3S33,3S33_part_3,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy sheet or thin-wall duct material,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
150,3S34,3S34_part_4,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy duct material,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
151,3S35,3S35_part_5,No link,no original BOM link and no web source recorded in the result,matched_existing,metal sheet,Specific material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
152,3S41,3S41_part_1,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy sheet,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
153,3S42,3S42_part_2,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy sheet,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
154,3S43,3S43_part_3,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
155,3S44,3S44_part_4,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy sheet,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
156,3S45,3S45_part_5,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy sheet,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
157,3S46,3S46_part_6,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown sheet metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
158,3S47,3S47_part_7,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,unknown corrosion-resistant sheet metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
159,3S48,3S48_part_8,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy sheet,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
160,3T,3T_diffusor,No link,no original BOM link and no web source recorded in the result,matched_existing,Aluminum 6061,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
161,3U,3U_flow_rectifier,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,unknown metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
162,3V,3V_gas_in_top,Useful link,research result has independent vendor-spec evidence,matched_existing,stainless steel transmitter housing with zirconia oxygen sensing element and integrated control electronics,Specific material,independent_vendor_spec,independent_vendor_spec,independent_vendor_spec,independent_vendor_spec
163,3W,3W_dummy_oxygen_sensor_FCX-TR,Unusable link,"Original link identifies a parent product/module while this row is a subpart, dummy, or simplified CAD representation.",matched_existing,"Stainless steel transmitter housing with zirconium oxide oxygen sensor, integrated control/amplifier electronics, M8 4-pole electrical connector, and a small PA6.6 plastic protection screw.",Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
164,3X1,3X1_valve_part_1,Unusable link,Original BOM link was stale/broken/not loading.,matched_existing,"AISI 316L / EN 1.4404 stainless steel valve component, with EPDM present in the valve material set",Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
165,3X2,3X2_valve_part_2,Unusable link,Original BOM link was stale/broken/not loading.,matched_existing,AISI 316L / EN 1.4404 stainless steel with EPDM sealing material,Specific material,bom_provided,engineering_hypothesis,bom_provided,engineering_hypothesis
166,3X3,3X3_valve_part_3,Unusable link,Original BOM link was stale/broken/not loading.,matched_existing,AISI 316L / EN 1.4404 stainless steel body and valve hardware with EPDM sealing element.,Specific material,bom_provided,engineering_hypothesis,bom_provided,bom_provided
167,6A,6A_conveyor_belt,Useful link,research result has independent vendor-spec evidence,matched_existing,"polyurethane belt body with high-strength tension members, probably steel cords for a standard PU timing-belt family or Kevlar/aramid cords if specified for the exact profile",Specific material,bom_provided,engineering_hypothesis,independent_vendor_spec,engineering_hypothesis
168,6B1,6B1_gliding_surface,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,stainless steel,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
169,6B2,6B2_ceramic_pole,No link,no original BOM link and no web source recorded in the result,matched_existing,technical ceramic material,Specific material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
170,6B3,6B3_glue,No link,no original BOM link and no web source recorded in the result,matched_existing,unspecified adhesive/glue polymer,Unknown/unspecified material,bom_provided,engineering_hypothesis,bom_provided,engineering_hypothesis
171,6C1,6C1_blade,No link,no original BOM link and no web source recorded in the result,matched_existing,Steel,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
172,6C2,6C2_blade_mount_part_1,No link,no original BOM link and no web source recorded in the result,matched_existing,stainless steel,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
173,6C3,6C3_blade_mount_part_2,No link,no original BOM link and no web source recorded in the result,matched_existing,stainless steel,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
174,6C5,6C5_blade_extension,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
175,6D,6D_rod_sleeve,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,Stainless steel,Specific material,engineering_hypothesis,bom_provided,bom_provided,engineering_hypothesis
176,6E1,6E1_plate_left,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,Stainless steel,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
177,6E2,6E2_plate_right,No link,no original BOM link and no web source recorded in the result,matched_existing,Stainless steel,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
178,6E3,6E3_plate_front,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,stainless steel,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
179,6E4,6E4_plate_back,No link,no original BOM link and no web source recorded in the result,matched_existing,stainless steel,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
180,6F,6F_powder_container_extension_back,No link,no original BOM link and no web source recorded in the result,matched_existing,Aluminum 6061,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
181,6G,6G_powder_container_extension_front,No link,no original BOM link and no web source recorded in the result,matched_existing,Aluminum 6061,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
182,6H1,6H1_powder_chute,No link,no original BOM link and no web source recorded in the result,matched_existing,metal sheet/alloy,Specific material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
183,6H2,6H2_seal_top,Unusable link,Original BOM link is a vendor homepage.,matched_existing,Silicone rubber,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
184,6H3,6H3_brush_seal_bottom,Useful link,research result has independent vendor-spec evidence,matched_existing,"Thermoplastic rubber or similar flexible rubber body, with possible polyamide bristles for the Mink Flex-System brush profile.",Specific material,bom_provided,bom_provided,independent_vendor_spec,bom_provided
185,6I,6I_clamping_plate_front,No link,no original BOM link and no web source recorded in the result,matched_existing,Aluminum 6061,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
186,6J,6J_clamping_plate_back,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,Aluminum 6061,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
187,6K,6K_fixed_bearing_mount,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,Aluminum 6061,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
188,6L,6L_floating_bearing_mount,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,Aluminum 6061,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
189,6M1,6M1_carriage_LEFG32-S-600N,Useful link,research result has independent vendor-spec evidence,matched_existing,"anodized aluminum alloy carriage/table, with the complete LEFG support-guide family also using stainless steel dust seal/band stopper and synthetic-resin/NBR seal or bushing elements outside this CAD-split carriage.",Specific material,independent_vendor_spec,independent_vendor_spec,independent_vendor_spec,engineering_hypothesis
190,6M2,6M2_rail_LEFG32-S-600N,Useful link,original BOM link is row-specific/useful; research result has independent vendor-spec evidence,matched_existing,Aluminum-alloy actuator/support-guide body with steel guide/seal hardware and polymer or elastomer sealing components.,Specific material,bom_provided,independent_vendor_spec,independent_vendor_spec,engineering_hypothesis
191,6N1,6N1_carriage_LEFS32REA-600N,Useful link,research result has independent vendor-spec evidence,matched_existing,"aluminum alloy carriage/table, anodized; possible steel guide or bearing elements not quantified by the row CAD",Specific material,bom_provided,independent_vendor_spec,independent_vendor_spec,engineering_hypothesis
192,6N2,6N2_rail_LEFS32REA-600N,Unusable link,"Original link identifies a parent product/module while this row is a subpart, dummy, or simplified CAD representation.",matched_existing,aluminum alloy body/base rail with possible steel guide elements,Specific material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
193,6O,6O_belt_pulley_GT2_8mm_20_teeth,Useful link,original BOM link is row-specific/useful,matched_existing,Aluminum 6061 pulley body,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
194,6P,6P_belt_pulley_without_teeth,Useful link,original BOM link is row-specific/useful,matched_existing,stainless steel,Specific material,bom_provided,bom_provided,bom_provided,bom_provided
195,6Q,6Q_mount_belt_pulley_without_teeth,No link,no original BOM link and no web source recorded in the result,matched_existing,stainless steel,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
196,6R,6R_belt,No link,no original BOM link and no web source recorded in the result,matched_existing,rubber,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
197,6S1,6S1_support_1,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,"Steel, STEP material name ""Stahl-1"".",Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
198,6S2,6S2_support_2,No link,no original BOM link and no web source recorded in the result,matched_existing,steel,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
199,6S3,6S3_bent_part,No link,no original BOM link and no web source recorded in the result,matched_existing,generic steel,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
200,6T,6T_motor_Nema_23,Useful link,original BOM link is row-specific/useful,matched_existing,"Multi-material electromechanical stepper motor assembly: ferrous/stainless metal body and shaft, copper windings, magnetic rotor/stator materials, electrical insulation, bearings, and polymer cable insulation.",Specific material,bom_provided,bom_provided,engineering_hypothesis,engineering_hypothesis
201,6U,6U_belt_pulley_motor_GT2_Bore6p35_20_teeth,Useful link,original BOM link is row-specific/useful,matched_existing,Aluminum 6061 / aluminum alloy pulley body,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
202,6V,6V_connection_motor_mount,No link,no original BOM link and no web source recorded in the result,matched_existing,Stainless steel.,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
203,6W,6W_connection_linear_guide_back,No link,no original BOM link and no web source recorded in the result,matched_existing,Austenitic stainless steel.,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
204,6X,6X_connection_linear_guide_top,No link,no original BOM link and no web source recorded in the result,matched_existing,austenitic stainless steel,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
205,6Y,6Y_spacer_11_mm,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
206,8A,8A_seal_ISO_KF_DN16,Useful link,original BOM link is row-specific/useful,matched_existing,aluminum EN AW-6061 centering ring with FKM O-ring,Specific material,bom_provided,engineering_hypothesis,bom_provided,engineering_hypothesis
207,8B,8B_angle_pipe_ISO_KF_DN40,Useful link,original BOM link is row-specific/useful,matched_existing,Aluminum 3.2315 / EN AW-6082,Specific material,bom_provided,bom_provided,bom_provided,bom_provided
208,8C1,8C1_flexible_pipe,Unusable link,"Original link identifies a parent product/module while this row is a subpart, dummy, or simplified CAD representation.",matched_existing,Stainless steel component set: 316L bellows and stainless steel 1.4301/304 flanges.,Specific material,bom_provided,engineering_hypothesis,bom_provided,engineering_hypothesis
209,8C2,8C2_end_piece,Unusable link,"Original link identifies a parent product/module while this row is a subpart, dummy, or simplified CAD representation.",matched_existing,stainless steel 1.4301/304 end piece/flange; mating hose family uses 316L stainless bellows,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
210,8D1,8D1_flexible_pipe_part_1,Unusable link,"Original link identifies a parent product/module while this row is a subpart, dummy, or simplified CAD representation.",matched_existing,"Stainless steel flange/end-ring material, consistent with Pfeiffer's 1.4301 / AISI 304 flange material for this DN 40 flexible pipe family; the complete flexible pipe also uses 316L stainless bellows.",Specific material,bom_provided,bom_provided,bom_provided,bom_provided
211,8D2,8D2_flexible_pipe_part_2,Unusable link,"Original link identifies a parent product/module while this row is a subpart, dummy, or simplified CAD representation.",matched_existing,stainless steel 1.4301/304,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
212,9A,9A_top_square_profile,No link,no original BOM link and no web source recorded in the result,matched_existing,structural steel rectangular hollow profile/tube,Specific material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
213,9B,9B_profile_60x60_960,Useful link,original BOM link is row-specific/useful; research result has independent vendor-spec evidence,matched_existing,anodized aluminum strut-profile alloy family; Rexroth technical data lists EN AW AlMgSi / EN AW-6060 with AW-6063-T66 designation for strut profiles,Specific material,bom_provided,independent_vendor_spec,bom_provided,engineering_hypothesis
214,9C,9C_top_spacer,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown structural metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
215,11,11_rack_chamber,No link,no original BOM link and no web source recorded in the result,matched_existing,stainless steel,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
216,12,12_flat_seal_back,Useful link,original BOM link is row-specific/useful,matched_existing,black silicone-based sealing compound / cured silicone elastomer,Specific material,bom_provided,bom_provided,bom_provided,bom_provided
217,13,13_flat_seal_side,Useful link,original BOM link is row-specific/useful,matched_existing,"black silicone sealing compound / cured silicone rubber, Liqui Moly 6185",Specific material,bom_provided,bom_provided,bom_provided,bom_provided
218,14,14_flat_seal_top_bottom,Unusable link,"Original link identifies a parent product/module while this row is a subpart, dummy, or simplified CAD representation.",matched_existing,"black neutral-crosslinked silicone sealant, no-MEKO formulation",Specific material,bom_provided,bom_provided,bom_provided,bom_provided
219,15,15_seal_door,Useful link,research result has independent vendor-spec evidence,matched_existing,black EPDM sponge rubber profile with mixed open/closed cellular structure and closed outer skin,Specific material,bom_provided,independent_vendor_spec,bom_provided,independent_vendor_spec
220,17A1,17A1_strut_profile_20X20_492,Useful link,original BOM link is row-specific/useful; research result has independent vendor-spec evidence,matched_existing,"Anodized aluminum strut-profile alloy; local CAD package tags the row as Aluminum 6061, while Bosch Rexroth technical data for its strut profiles identifies EN AW aluminum-magnesium-silicon profile alloys.",Specific material,bom_provided,bom_provided,independent_vendor_spec,engineering_hypothesis
221,17A2,17A2_strut_profile_20X20_629,Useful link,original BOM link is row-specific/useful,matched_existing,"aluminum alloy extrusion; row STEP metadata says Aluminum 6061, while Bosch Rexroth profile-family data generally uses aluminum profile alloys such as EN AW-6060/AW-6063-T66",Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
222,17A3,17A3_strut_profile_20X20_135,Useful link,original BOM link is row-specific/useful,matched_existing,"Aluminum 6061, anodized aluminum profile family",Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
223,17A4,17A4_strut_profile_20X20_463,Useful link,original BOM link is row-specific/useful,matched_existing,Aluminum 6061,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
224,17A5,17A5_strut_profile_20X20_484,Useful link,research result has independent vendor-spec evidence,matched_existing,anodized aluminum strut-profile extrusion,Specific material,bom_provided,independent_vendor_spec,independent_vendor_spec,engineering_hypothesis
225,17A6,17A6_strut_profile_20X20_D108,Unusable link,Could not confirm original BOM link as exact row-specific evidence.,matched_existing,Aluminum 6061,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
226,17A7,17A7_strut_profile_20X20_D50,Unusable link,Could not confirm original BOM link as exact row-specific evidence.,matched_existing,Aluminum 6061,Specific material,bom_provided,bom_provided,bom_provided,bom_provided
227,17A8,17A8_strut_profile_20X20_D70,Useful link,research result has independent vendor-spec evidence,matched_existing,Aluminum 6061 profile; anodized aluminum finish indicated by same-family Bosch Rexroth 20x20 strut profile listing.,Specific material,bom_provided,bom_provided,independent_vendor_spec,independent_vendor_spec
228,17A9,17A9_strut_profile_20X20_343,Useful link,research result has independent vendor-spec evidence,matched_existing,anodized aluminum extrusion; Rexroth strut-profile technical data indicates EN AW-6060 / AW-6063-T66 aluminum-magnesium-silicon alloy family for strut profiles,Specific material,independent_vendor_spec,independent_vendor_spec,independent_vendor_spec,engineering_hypothesis
229,17AA,17AA_strut_profile_20X20_271,Useful link,original BOM link is row-specific/useful; research result has independent vendor-spec evidence,matched_existing,anodized aluminum,Specific material,bom_provided,independent_vendor_spec,independent_vendor_spec,independent_vendor_spec
230,17AB,17AB_strut_profile_20X20_473,Useful link,research result has independent vendor-spec evidence,matched_existing,anodized aluminum Bosch Rexroth 20x20 strut profile,Specific material,independent_vendor_spec,independent_vendor_spec,independent_vendor_spec,engineering_hypothesis
231,17AC,17AC_strut_profile_20X20_296,Useful link,research result has independent vendor-spec evidence,matched_existing,"anodized aluminum strut profile; Bosch Rexroth technical data identifies the 20x20 profile material as anodized aluminum, and broader Rexroth strut-profile technical data maps the family to EN AW aluminum-magnesium-silicon profile alloys.",Specific material,bom_provided,independent_vendor_spec,independent_vendor_spec,engineering_hypothesis
232,17AD,17AD_strut_profile_20X20_110,Useful link,original BOM link is row-specific/useful,matched_existing,"Bosch Rexroth aluminum strut-profile alloy family, EN AW Al MgSi / EN AW-6060 with AW-6063-T66 family properties; anodized profile finish",Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
233,17AE,17AE_strut_profile_20X20_604,Useful link,research result has independent vendor-spec evidence,matched_existing,anodized aluminum Bosch Rexroth strut profile; Rexroth profile alloy family EN AW-6060 / AW-6063-T66,Specific material,independent_vendor_spec,independent_vendor_spec,independent_vendor_spec,engineering_hypothesis
234,17AF,17AF_handle,Useful link,original BOM link is row-specific/useful; research result has independent vendor-spec evidence,matched_existing,AISI 316 stainless steel precision casting with matte shot-blasted GS finish.,Specific material,bom_provided,independent_vendor_spec,bom_provided,bom_provided
235,17AG,17AG_profile_60x60_300,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",ambiguous,aluminum or anodized aluminum strut-profile extrusion,Specific material,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
236,17AH,17AH_profile_60x60_350,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",ambiguous,"anodized aluminum extrusion, exact alloy not specified",Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
237,17AI,17AI_hinge,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown structural metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
238,17AJ,17AJ_sheet_front,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy sheet material,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
239,17AK,17AK_sheet_top,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown sheet metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
240,17AL,17AL_sheet_side,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown sheet metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
241,17AM,17AM_sheet_back,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy sheet material,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
242,17AN,17AN_cover_sheet_hood_top,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown sheet metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
243,17B,17B_dummy_oxygen_sensor_A19N,Unusable link,"Original link identifies a parent product/module while this row is a subpart, dummy, or simplified CAD representation.",matched_existing,"stainless steel sensor body with aluminum plug/connection-head housing, stabilized zirconium oxide ceramic sensing element, and platinum contact layer; additional heater, connector, wiring, and sealing materials are present but not grade-resolved",Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
244,21,21_seal_top,Useful link,original BOM link is row-specific/useful,matched_existing,black silicone sealant / cured silicone rubber,Specific material,bom_provided,bom_provided,bom_provided,bom_provided
245,22,22_seal_bottom,Unusable link,Original BOM link was stale/broken/not loading.,matched_existing,black silicone sealant / cured silicone rubber,Specific material,bom_provided,bom_provided,bom_provided,bom_provided
246,23,23_seal_back_front,Useful link,original BOM link is row-specific/useful,matched_existing,black silicone sealant / cured silicone rubber,Specific material,bom_provided,bom_provided,bom_provided,bom_provided
247,24,24_seal_left_right,Useful link,original BOM link is row-specific/useful,matched_existing,black silicone-based sealing compound / cured silicone elastomer,Specific material,bom_provided,bom_provided,bom_provided,bom_provided
